,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
10,طعم پیتزا زیاد خوب نبود واصلا سیرنشدم ولی خب سالاد اوکی بود و راضی کننده بود,negative,neutral,دلیل اصلی این پیش‌بینی این است که مشتری در مورد پیتزا نظر منفی دارد (طعم پیتزا زیاد خوب نبود و اصلا سیر نشدم) اما در مورد سالاد نظر مثبتی دارد (سالاد اوکی بود و راضی کننده بود). این دو نظر مخالف باعث می‌شود که مشتری احساس خنثی نسبت به تجربه خود داشته باشد.
11,چیکن فیله خوشمزه بود ولی نسبت به قبل حجمش کمتر شده بود، ساندویچ مرغ مدیترانه‌ای هم خوب بود ولی خیلی کوچیک بود بهتر بود اندازه ساندویچ مینوشتن که مینی بوده!,positive,neutral,دلیل اصلی این پیش‌بینی این است که مشتری هم نکات مثبت و هم نکات منفی را در مورد تجربه خرید خود بیان کرده است. او از طعم چیکن فیله و ساندویچ مرغ مدیترانه‌ای راضی بوده، اما از کاهش حجم چیکن فیله و کوچکی ساندویچ ناراضی بوده است. این تعادل بین نظرات مثبت و منفی باعث می‌شود که احساسات مشتری خنثی باشد.
12,خیلی خیلی پر گوشت و عالی بود.,positive,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمات و عبارات مثبتی مانند ""خیلی خیلی"" و ""عالی بود"" است که نشان‌دهنده رضایت و علاقه نویسنده به موضوع مورد نظر است."
13,خیلی تازه و خوشمزس,positive,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمات مثبتی مانند ""تازه"" و ""خوشمزه"" است که نشان‌دهنده رضایت و علاقه مشتری به محصول است."
14,برای چندمین بار تکرار شد. آقا کیفیت نون بسیار خوب.. ولی چرا نون بیات روز قبل رو وسط نون‌های تازه میذارین؟ ۴ تا تازه بود یکیش بیات. نمیدونم شاید کارگرتون این کارو میکنه. تذکر بدین. کیفیت نون تازتون عالیه ولی با این کار دفعه دیگه سفارش نمیدم,negative,negative,دلیل اصلی پیش‌بینی من این است که مشتری اگرچه کیفیت نان تازه را خوب ارزیابی کرده است، اما از این که نان بیات در میان نان‌های تازه قرار داده شده است، ناراضی است و تهدید کرده است که اگر این کار تکرار شود، سفارش نخواهد داد.
15,سلام و خسته نباشین خدمت شما ….. ببینید کیفیت غذاتون عالیه طعم‌ها بیست و بسته بندی عالی ولی متاسفانه توی دیزی اصلا گوشت پیدا نمیکنی همش نخوده و یک تیکه استخوان که به اندازه یک بند انگشت گوشت داره آخه حیفه برای رستوران شما,negative,neutral,دلیل اصلی این پیش‌بینی این است که مشتری در ابتدا کیفیت و طعم غذاها و بسته‌بندی را بسیار خوب توصیف می‌کند، اما سپس به یک نقطه منفی اشاره می‌کند که عدم وجود گوشت کافی در دیزی است. این ترکیب از نظرات مثبت و منفی باعث می‌شود که نظرات مشتری خنثی باشد.
16,پیتزاش عملا هیچ چیزی نداشت: / یه نون بود با ۱۵ تا تیکه مرغ مکعبی: / البته دلار رفته بالا ولی …,negative,negative,"دلیل اصلی این پیش‌بینی، استفاده از کلمات و عبارات منفی مانند ""هیچ چیزی نداشت"" و مقایسه نامناسب قیمت با کیفیت پیتزا است که نشان‌دهنده نارضایتی مشتری از تجربه خرید خود است."
17,واقعا هفت هشت تا دونه قارچ شانزده هزار تومن؟ من باید شکایتمو به کی بگم؟,negative,negative,دلیل اصلی این پیش‌بینی، استفاده از کلمات و عباراتی است که حاکی از نارضایتی و شکایت هستند. در این جمله، قیمت ۱۶ هزار تومان برای ۷ یا ۸ عدد قارچ به عنوان یک قیمت بالایی در نظر گرفته شده است و نویسنده از این موضوع ناراضی است.
18,نوشیدنی که سفارش داده بودم متاسفانه نبود تو بسته بندی و غذا بسیار سرد بود,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از دو مورد ناراضی بوده است: نبود نوشیدنی سفارش داده شده در بسته بندی و سرد بودن غذا.
19,ساندویچها بدون سس سفارش داده شده بود که با سس فراوان دست ما رسید. کوکای زیرو نوشته بودم که بدون هماهنگی ساده فرستادند,negative,negative,دلیل اصلی این پیش‌بینی، وجود دو شکایت در مورد سفارش است: اول اینکه ساندویچ‌ها با سس فراوان فرستاده شده‌اند در حالی که سفارش داده شده بود بدون سس باشند، و دوم اینکه کوکای زیرو بدون هماهنگی با مشتری فرستاده شده است. این دو شکایت نشان‌دهنده نارضایتی مشتری از کیفیت خدمات است.
20,چند روزه گرفتمش دارم استفاده میکنم  خیلی عالیه وکیفیت صدا حرف نداره  صدار که بلند می کنی از کیفیت صدا کم نمیشه در کل خرید این سیستم صوتی را پیشنهاد مکنم ,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری پس از استفاده از سیستم صوتی، آن را ""خیلی عالیه"" توصیف کرده و کیفیت صدا را ""حرف نداره"" می‌نامد. همچنین، او خرید این سیستم صوتی را به دیگران توصیه می‌کند، که نشان‌دهنده رضایت و خشنودی او از محصول است."
21,بعد از کلی تحقیق خرید مش عالی اگر قیمتش مهم نیست پیشنهاد میکنم بخرید ,positive,positive,"دلیل اصلی این پیش‌بینی این است که نویسنده پس از تحقیقات گسترده، این محصول را ""مش عالی"" توصیف کرده و آن را به دیگران توصیه کرده است، که نشان‌دهنده رضایت و علاقه او به محصول است."
22,حدود یک ماهه این تلویزیون رو خریدم و از 10 نمره بهش 9 رو میدم تلویزیون با کیفیت و مدرنیه و ظاهرش هم زیباست  تو این رنج قیمتی شاید بهترین انتخاب باشه برای فضای بزرگ مناسب نیست و بهتره سراغ سایز های بزرگ تر برید   چند تا نکته حرفه ای  که ممکنه به دردتون بخوره   سیستم عامل تایزن سیستم عامل با کاربری راحته و زیاد حرفه ای و پر امکانات نیست ولی خیلی بهتر از رابط کاربری تلویزیون های غیر هوشمنده فقط یک ورودی کامپوزیت  ای وی  وجود داره که اونم در صورت استفاده از کامپوننت مختل میشه و اگر تعداد دستگاه های ورودی قدیمیتون کمه مشکلی نیست چون دو تا ورودی اچ دی ام آی وجود داره کنترل تلویزیون ساده هست و کنترل اصلی سری 6 رو باید از بازار تهیه کرد   این کنترل برای عملیات های اصلی مناسبه ولی کار براش ممکنه برای افراد قدیمی تر سخت باشه خصوصا زمان استفاده از امکانات مختلف تلویزیون کنترل های قبلی سامسونگ همگی با این دستگاه سازگارن   باتری های کنترل قلمی هستن کیفیت تصویر قابل قبوله و تنظیمات زیادی داره و مود های مختلفی هم داره که شما رو از سردرگمی برای یه آپشن خوب نجات میده یک پورت یو اس بی 1 آمپر برای هارد اکسترنال داره و یک پورت نیم آمپر برای فلش مموری هر چند میشه از هر دو برای هر دو مورد استفاده کرد اگر میخواید از قابلیت وب و برنامه های تلویزیون راحت تر استفاده کنین میتونین کیبورد و موس بلوتوث تهیه کنین  ,neutral,positive,دلیل اصلی این پیش‌بینی این است که نویسنده این نقد، از کیفیت و ظاهر تلویزیون ابراز رضایت کرده و آن را به عنوان یکی از بهترین گزینه‌ها در این رنج قیمتی معرفی کرده است. همچنین، نویسنده به ویژگی‌های مثبت تلویزیون مانند سیستم عامل تایزن، کیفیت تصویر قابل قبول و تنظیمات مختلف اشاره کرده است. اگرچه نویسنده به برخی از محدودیت‌ها و مشکلات مانند نبود ورودی کامپوزیت و کنترل ساده اشاره کرده است، اما این موارد را به عنوان نقص‌های جدی تلقی نکرده است.
23,طراحی این محصول بسیار عالیست و مدل کیبورد شباهت زیادی به مک بوک دارد هارد ssd سرعت بوت را بسیار بالا و 5 ثانیه کرده  تاچ پد بسیار با کیفیت است و کار کردن با آن لذت بخش است  کیفیت صفحه نمایش قابل قبول است پورت ها هم مکفی است  وزن بسیار عالی و سبک است فن بسیار کم صدا است و جای آن درست بین لولای صفحه است فقط در هنگامی که برنامه سنگین اجرا کنید صداش بالا میره  درکل تنها اشکال من کم بودن زاویه کم باز شدن صفحه است باتری هم حداقل 3 و حداکثر 7 ساعت نگه میداره  من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است ,negative,positive,"دلیل اصلی این پیش‌بینی مثبت، وجود کلمات و جملات مثبت در متن است، مانند ""طراحی بسیار عالیست""، ""هارد ssd سرعت بوت را بسیار بالا کرده""، ""تاچ پد بسیار با کیفیت است""، ""وزن بسیار عالی و سبک است"" و ""من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است"". این کلمات و جملات نشان می‌دهند که نویسنده از محصول راضی است و آن را به طور کلی مثبت ارزیابی می‌کند."
24,اولین بار نیست که از دیجی لوازم آرایش سفارش میدم  واقعا که تا حالا هر چی سفارش دادم عالی بوده و اصل  این پن کیک هم رنگشو شانسی انتخاب کردم و میتونم بگم واقعا شبیه به رنگ طبیعی پوست هست  تقریبا پوست نه خیلی سفید نه سبزه  ماندگاری خوبی هم داره ,negative,positive,دلیل اصلی این پیش‌بینی این است که مشتری تجربه خرید موفق قبلی از دیجی لوازم آرایش داشته و از کیفیت و اصالت محصولات راضی بوده است. همچنین او از رنگ و ماندگاری پن کیک خریداری شده نیز رضایت دارد و آن را شبیه به رنگ طبیعی پوست خود توصیف می‌کند.
25,دستگاه روز جمعه به دستم رسید ویندوز 10 نصب کردم حالت فلشی که برای نصب ویندوز آماده میکنید حتما بصورت ufei باشه و ویندوز رو روی SSD بریزید که سرعت بالا اومدن ویندوز حدود 5 ثانیه میشه کلا خیلی خوب و قدرتمند هست از خریدم راضیم و چندتا محاسبه زدم خیلی خوب جواب داد  اگه مشکل مالی برای این مبلغ ندارید حتما پیشنهاد میکنم بخرید چون حداقل تا 4 سال جواب کار رو میده ,positive,positive,دلیل اصلی این پیش‌بینی این است که مشتری از خرید خود راضی است و از قدرت و سرعت دستگاه ابراز رضایت کرده است. او همچنین آن را برای دیگران توصیه می‌کند و می‌گوید که حداقل تا ۴ سال جوابگوی کار خواهد بود.
26,قیمتش می تونست خیلی پایین تر باشه ,positive,negative,دلیل اصلی این پیش‌بینی این است که مشتری قیمت محصول را بالا می‌داند و انتظار دارد قیمت آن کمتر باشد.
27,دورببن خیلی خوبیه کیفیت نسبتا خوبی داره ولی تو عکسا وقتی زوم میکنی عکس بهتر میوفته در کل چیز خوبیه عکسای خیلی خوبی میشه گرفت  ,positive,positive,"دلیل اصلی این پیش‌بینی، وجود کلمات و عبارت‌های مثبت در متن نظرات است، مانند ""دورببن خیلی خوبیه""، ""کیفیت نسبتا خوبی داره"" و ""چیز خوبیه"" که نشان‌دهنده رضایت کاربر از دوربین است."
28,کیفیت ساخت و زیبایی عالی ,positive,positive,"دلیل اصلی پیش‌بینی مثبت این است که در این 評價، از کلمات ""عالی"" استفاده شده است که نشان‌دهنده احساس مثبت و رضایت از کیفیت ساخت و زیبایی است."
29,این محصول بسیار عالی و با کیفیت هست  ,positive,positive,"دلیل اصلی این پیش‌بینی این است که در این 評價 کلمه ""عالی"" و ""با کیفیت"" استفاده شده است که نشان‌دهنده یک تجربه مثبت و رضایت‌بخش از محصول است."
30,من این لپ تاپو برای دوستم سفارش دادم   مال خودمم مارک اچ پی هست و واقعا خیلی خیلی ازش راضی هستم خدا ر و شکر البته مدل مال من از این خیلی بالاتره اما از اونجایی که خدا رو شکر خیلی از لپ تاپ خودم راضی بودم تصمیم گرفتم تو این رنج قیمت برند خوب اچ پی رو انتخاب کنم ضعفاش هموناییه که نوشتم که البته مشکل صفه کلید با خرید استیکر مخصوص صفه کلید به راحتی قابل حله الانم دارم با همین لپ تاپ این نظر رو مینویسم و در آخر خیلی خیلی ممنونم از دیجی کالای عزیز بخاطر خدمات خوبش و سرعت عملش تو ارسال خرید اولین بارم بود ازش خرید میکردم ولی واقعا از حالا به بعد مشتریه ثابتشم راستی ویندوز مناسب برای این لپ تاپ همونطور که تو نقد و بررسی نوشته شده ویندوز ده هست روش نصب کردم و الحمدالله بی هیچ مشکلی داره کار میکنه  ,positive,positive,error
31,من این لپ تاپ رو خریدم که باهاش کار تدوین فیلم انجام بدم ولی باید بگم که کلا لپ تاپ برای کارای تدوین اصلا بدرد نمیخوره حالا هر چقدر هم از سخت افزار خوبی برخوردار باشه اینو گفتم که گول اون کاربری مولتی مدیای که نوشته رو نخورید  ولی در کل لپ تاپ خوبیه متاسفانه برنامه ادیوس که یکی از نرم افزارهای تدوین فیلم هست روی این لپ تاپ عملکرد فوق العاده ضعیفی داشت من حتی بسختی میتونستم با فتوشاپ با این لپ تاپ کار کنم نمیخام بگم لپ تاپ بدی هست اما بدرد این کارهایی که گفتم نمیخوره با پول این لپ تاپ میتونید یه کیس خوب ببندید با قدرت خیلی بیشتر نسبت به قیمتش لپ تاپ خوبیه ولی بدرد کار من نخورد من تو استفاده از این برنامه ها از این لپ تاپ اصلا راضی نبودم یا علی ,neutral,negative,دلیل اصلی این پیش‌بینی این است که کاربر از عملکرد لپ تاپ برای کارهای تدوین فیلم و استفاده از نرم افزارهای خاص مانند ادیوس و فتوشاپ راضی نیست. او حتی می‌گوید که با وجود سخت افزار خوب، لپ تاپ برای این کارها بدرد نمی‌خورد و پیشنهاد می‌کند که با پول لپ تاپ می‌توان یک کیس قوی‌تر خرید. این نشان می‌دهد که کاربر از لپ تاپ برای نیازهای خاص خود راضی نیست و این منجر به یک ارزیابی منفی می‌شود.
