index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
10,فتوسنتز یک فرایند است که شامل دی‌اکسید کربن، آب، گلوکز، اکسیژن و نور خورشید می‌باشد. کدام معادله شیمیایی صحیح برای فتوسنتز است؟,"['O_{2} + H_{2}O + انرژی -> C_{6}H_{12}O_{6} + CO_{2}', 'CO_{2} + H_{2}O -> C_{6}H_{6}O_{3} + O_{2} + انرژی', '6O_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6CO_{2} + انرژی', '6CO_{2} + 6H_{2}O + انرژی -> C_{6}H_{12}O_{6} + 6O_{2}']",D,فرایند فتوسنتز دی‌اکسید کربن و آب را به گلوکز و اکسیژن با انرژی نور خورشید تبدیل می‌کند. معادله,D,0.8747984766960144,D,0.956278920173645,True,True,True,True,[1.1792953e-01 6.1883742e-04 6.6531291e-03 8.7479848e-01],[4.1852161e-02 4.3676648e-04 1.4321022e-03 9.5627892e-01]
11,کدامیک از موارد زیر نمونه‌ای از یک تغییر فیزیکی است؟,"['روشن کردن یک کبریت', 'شکستن یک شیشه', 'سوختن بنزین', 'زنگ\u200cزدگی آهن']",B,شکستن شیشه تغییر فیزیکی است چون ترکیب آن تغییر نمی‌کند.,C,0.6676990389823914,B,0.9954896569252014,False,True,True,True,[0.13147774 0.19129898 0.66769904 0.00952422],[3.1995187e-03 9.9548966e-01 3.9425804e-04 9.1667741e-04]
12,کدام یک از مناطق زیر بیشتر احتمال دارد تا سنگ‌های دگرگونی مانند گنیس و شیست را تشکیل دهد؟,"['بستر دریا', 'بیابان بادزده', 'محل عمیق زیر زمین', 'محل تحت پوشش یخچال']",C,سنگ‌های دگرگونی در عمق زمین و تحت فشار و دما تشکیل می‌شوند,C,0.7616659998893738,A,0.4246242642402649,True,False,False,False,[0.17061582 0.03806954 0.761666   0.02964858],[0.42462426 0.17700973 0.29183972 0.10652633]
13,حشرات نر در یک جمعیت برای جلوگیری از تولید اسپرم درمان می‌شوند. آیا این کار می‌تواند جمعیت این حشرات را کاهش دهد؟,"['خیر، زیرا حشرات هنوز هم جفت\u200cگیری خواهند کرد.', 'خیر، زیرا این کار نرخ جهش فرزندان را تغییر نمی\u200cدهد.', 'بله، زیرا این کار به شدت نرخ زاد و ولد را کاهش می\u200cدهد.', 'بله، زیرا نرها خواهند مرد.']",C,درمان نرها تولید مثل را کاهش می‌دهد و جمعیت حشرات را کاهش می‌کند,C,0.5505214929580688,A,0.6400730609893799,True,False,False,False,[0.43042463 0.0112926  0.5505215  0.00776128],[0.64007306 0.01026531 0.34260643 0.00705523]
14,در زمین، آب می‌تواند به صورت جامد، مایع یا گاز باشد. کدام منبع انرژی بیشترین تأثیر را بر وضعیت ماده آب دارد؟,"['خورشید', 'باد', 'جریان\u200cهای اقیانوسی', 'هسته فلزی']",A,[MASK] بزرگترین منبع انرژی است که حالت‌های آب را تغییر می‌دهد.,A,0.9873910546302795,A,0.9804747700691223,True,True,True,False,[0.98739105 0.00148738 0.00356805 0.00755356],[0.98047477 0.00520571 0.00459402 0.00972554]
15,یک کشتی مقدار زیادی نفت را در نزدیکی یک ناحیه ساحلی نشت می‌کند. کدام یک از بیانیه‌ها توصیف می‌کند که نفت چگونه احتمالاً بر زیستگاه ساحلی تأثیر خواهد گذاشت؟,"['نرخ تولید مثل ماهی\u200cها افزایش خواهد یافت.', 'پرندگان آبی قادر به استفاده از بال\u200cهای خود نخواهند بود.', 'گیاهان آبزی در معرض نور خورشید بیشتری قرار خواهند گرفت.', 'گیاهان ساحلی به مواد مغذی بیشتری دسترسی خواهند داشت.']",B,نشت نفت باعث آلودگی آب و آسیب به پرندگان آبی می‌شود، که,A,0.9468340873718262,B,0.5166528820991516,False,True,True,True,[0.9468341  0.02523227 0.00270134 0.02523227],[0.45594457 0.5166529  0.00207871 0.02532384]
16,یک ویژگی شیمیایی معدنی وقتی مشهود است که معدنی,"['به راحتی هنگام ضربه با چکش می\u200cشکند', 'هنگام قرار دادن اسید بر روی آن حباب کند', 'به راحتی توسط ناخن خراشیده می\u200cشود', 'نور را از سطح خود بازتاب می\u200cدهد']",B,خاصیت شیمیایی معدنی با واکنش آن با اسید مشخص می‌شود، که حباب ز,A,0.5072625875473022,B,0.9830201268196106,False,True,True,True,[0.5072626  0.2386797  0.2386797  0.01537796],[0.01413201 0.9830201  0.00116003 0.00168783]
17,یک غروب که در حال تاریک شدن است، الکس بر روی ایوان جلویی می‌نشیند و به آرامی ناپدید شدن خورشید پشت خانه همسایه آن طرف خیابان را تماشا می‌کند. کدام گزینه این مشاهدات را توضیح می‌دهد؟,"['نور خورشید توسط ابرها منعکس می\u200cشود.', 'نور خورشید توسط جو زمین شکست می\u200cیابد.', 'خورشید هر روز از غرب به شرق حرکت می\u200cکند.', 'خورشید به نظر می\u200cرسد که به دلیل چرخش زمین در حال حرکت است.']",D,خورشید به دلیل چرخش زمین به سمت غرب ناپدید می‌شود و این مشاهدات را توض,D,0.9096762537956238,D,0.9147582054138184,True,True,True,True,[0.06589673 0.01297583 0.01145113 0.90967625],[0.03142381 0.00200886 0.05180911 0.9147582 ]
18,یک تبلیغ خمیردندان بیان می‌کند که یک برند از خمیردندان‌ها، غلظت بیشتری از فلوراید نسبت به هر خمیردندان دیگری که در دسترس است، دارد. این تبلیغ احتمالاً به این نکته اشاره دارد که خمیردندان تبلیغ‌شده,"['طعم خوشایندی دارد.', 'توسط دندانپزشکان توصیه می\u200cشود.', 'به بهداشت دهان و دندان کمک می\u200cکند.', 'گران\u200cترین برند فروخته\u200cشده است.']",C,غلظت بالای فلوراید در خمیردندان نشان‌دهنده تأثیر مثبت آن بر بهداشت دهان,C,0.963753879070282,C,0.9882616400718689,True,True,True,True,[0.02266532 0.01213187 0.9637539  0.00144895],[9.7645652e-03 1.6968269e-03 9.8826164e-01 2.7699937e-04]
19,سلول‌ها چه چیزی را تجزیه می‌کنند تا انرژی تولید کنند؟,"['غذا', 'آب', 'کلروفیل', 'دی\u200cاکسید کربن']",A,سلول‌ها از [MASK] برای تولید انرژی استفاده می‌کنند.,A,0.994198203086853,A,0.9964678287506104,True,True,True,True,[0.9941982  0.00189504 0.0011494  0.00275727],[0.9964678  0.00117131 0.00103368 0.00132727]
20,لورا ۵۰ میلی‌لیتر آب جوش را به ۱۰۰ میلی‌لیتر آب یخ اضافه می‌کند. اگر این ۱۵۰ میلی‌لیتر آب سپس در فریزر قرار گیرد، در چه دمايي آب یخ می‌زند؟,"['۰ درجه سانتی\u200cگراد', '۱۵ درجه سانتی\u200cگراد', '۳۷ درجه سانتی\u200cگراد', '۵۰ درجه سانتی\u200cگراد']",A,وقتی لورا آب جوش و یخ را مخلوط می‌کند، دمای نهایی نزدیک به 0 درجه سانتی‌,A,0.9709250330924988,A,0.9944909811019897,True,True,True,True,[0.97092503 0.01382248 0.0044875  0.01076496],[9.9449098e-01 3.6148254e-03 1.0356648e-03 8.5859629e-04]
21,پیامی از مغز به عضله در بازو توسط کدام ساختارها منتقل می‌شود؟,"['عصب\u200cهای حسی', 'عصب\u200cهای بینابینی', 'عصب\u200cهای حرکتی', 'عصب\u200cهای مکانورسپتوری']",C,سیگنال از مغز به عضله توسط نورون‌های حرکتی منتقل می,C,0.9269867539405823,C,0.9914461374282837,True,True,True,True,[0.040412   0.02777473 0.92698675 0.00482653],[5.8551915e-03 2.1540045e-03 9.9144614e-01 5.4461765e-04]
22,ترکیب خاک بر توانایی خاک در حفظ و انتقال آب و هوا تأثیر می‌گذارد. کدام نوع خاک برای کاشت یک باغ مولد بهترین است؟,"['خاک\u200cهای شنی زیرا محتوای سیلیس بالایی دارند.', 'خاک\u200cهای لومی زیرا شامل شن و رس هستند.', 'خاک\u200cهای کمی سنگی زیرا معدنیات مورد نیاز را تأمین می\u200cکنند.', 'خاک\u200cهای رسی زیرا خاک\u200cهای سنگینی هستند و آب را حفظ می\u200cکنند.']",B,خاک لومی بهترین گزینه است زیرا هم آب را نگه می‌دارد و هم هوا را منتقل,A,0.3312472105026245,B,0.9351167678833008,False,True,True,True,[0.3312472  0.3312472  0.04518104 0.29232463],[0.04108616 0.93511677 0.0018052  0.02199184]
23,زمین در یک روز چند بار حول محور خود می‌چرخد؟,"['یک بار', 'دو بار', '۲۴ بار', '۳۶۵ بار']",A,زمین روزی [MASK] می‌چرخد و شب و روز,B,0.5344530344009399,A,0.6491490602493286,False,True,True,True,[0.41623244 0.53445303 0.02619632 0.02311817],[0.64914906 0.34746447 0.00075416 0.00263228]
24,دو دانش‌آموز از آن‌ها خواسته می‌شود که نموداری را در مورد طیف الکترومغناطیسی تهیه کنند. از چپ به راست، نمودار یکی از دانش‌آموزان طیف را از پرتوهای گامای تا امواج رادیویی نشان می‌دهد، در حالی که نمودار دانش‌آموز دیگر عکس آن را نشان می‌دهد. اگر معلم بگوید که هر دو نمودار صحیح هستند، آنگاه,"['اهمیتی ندارد که دانش\u200cآموزان نمودارهای خود را چگونه برچسب\u200cگذاری کنند.', 'راه\u200cهای متعددی برای سازماندهی اطلاعات وجود دارد.', 'امواج دارای خواص یکسانی هستند.', 'دانش\u200cآموزان تشویق می\u200cشوند که کار خود را انجام دهند.']",B,هر دو دانش‌آموز می‌توانند اطلاعات را به شیوه‌های مختلف سازمان,B,0.8339493274688721,B,0.9396593570709229,True,True,True,True,[1.6389394e-01 8.3394933e-01 9.3524628e-05 2.0631202e-03],[6.0070410e-02 9.3965936e-01 1.1416534e-04 1.5604551e-04]
25,زغال‌سنگ سنگی جامد است که از مواد ارگانیک در یک دلتای آب‌گرفته تشکیل شده است. تشکیل زغال‌سنگ نشان می‌دهد که,"['زغال\u200cسنگ عمدتاً از بقایای اسکلتی حیوانات تشکیل شده است.', 'زغال\u200cسنگ از ماگما که در طول زمان جامد شده است تشکیل می\u200cشود.', 'بلافاصله وقتی آب حذف می\u200cشود، به حالت فسیل در می\u200cآید.', 'فرایندهای زمین\u200cشناسی سال\u200cها ادامه دارد.']",D,تشکیل زغال‌سنگ نشان‌دهنده فرآیندهای زمین‌شناسی طول,A,0.9591619372367859,D,0.8557550311088562,False,True,True,True,[0.95916194 0.01353552 0.00161659 0.02568591],[0.13174792 0.01064686 0.00185015 0.85575503]
26,ستاره‌ها معمولاً بر اساس درخشندگی ظاهری‌شان در آسمان شب طبقه‌بندی می‌شوند. ستاره‌ها همچنین می‌توانند به طرق دیگر نیز طبقه‌بندی شوند. کدام‌یک از این روش‌ها برای طبقه‌بندی ستاره‌ها کمترین کاربرد را دارد؟,"['رنگ قابل مشاهده', 'ترکیب', 'بافت سطحی', 'دما']",C,[MASK] ستاره‌ها به دلیل فاصله و شرایط مشاهده، اطلاعات کمتری,A,0.43724772334098816,A,0.528186023235321,False,False,False,False,[0.43724772 0.34186167 0.05940665 0.161484  ],[0.528186   0.21846724 0.1501502  0.10319661]
27,مایکل آموخته است که حرکت زمین در منظومه شمسی باعث تغییراتی می‌شود که می‌توان آن‌ها را روی این سیاره مشاهده کرد. کدام تغییر در زمینی که زمانی برای چرخش یک بار بر روی محور خود نیاز دارد، قابل مشاهده است؟,"['تبدیل روز به شب', 'تغییر زمستان به بهار', 'تغییر ژانویه به فوریه', 'تبدیل ماه نو به ماه کامل']",A,چرخش زمین شب و روز را ایجاد می‌کند؛ بنابراین گزینه,A,0.801138162612915,A,0.8941853642463684,True,True,True,True,[0.80113816 0.12214074 0.0576952  0.01902586],[0.89418536 0.08284794 0.01877698 0.00418971]
28,کدام یک از موارد زیر مشاهدهای است درباره ملخها که یک کلاس علوم می‌توانست در پیاده‌روی طبیعت خود انجام دهد؟,"['ملخها در یک ظرف پر از گیاهان بیشترین عمر را خواهند کرد.', 'ملخها سبز رنگ هستند و پاهای پشتی بلندی و شاخکهایی دارند.', 'ملخها احتمالاً علف بیشتری به نسبت برگ درختان خواهند خورد.', 'همه ملخها از تخمهایی که سال قبل گذاشته شده بودند، بیرون آمده\u200cاند.']",B,در پیاده‌روی علمی، دانش‌آموزان می‌توانند ویژگی‌های ظاه,B,0.5573395490646362,B,0.8034178614616394,True,True,True,True,[0.23233369 0.55733955 0.1823608  0.02796593],[0.14070809 0.80341786 0.04568123 0.01019286]
29,چه ویژگی ای از DNA باعث تمایز سلولی در جنین های در حال توسعه می شود؟,"['کدام ژن ها وجود دارند', 'چندین نسخه از هر ژن وجود دارد', 'کدام ژن ها فعال هستند', 'چه پروتئینی توسط یک ژن تولید می شود']",C,تمایز سلولی به فعالیت ژن‌ها در سلول‌های مختلف بستگی دارد.,C,0.8969911932945251,B,0.6416268348693848,True,False,False,False,[0.05723084 0.04457142 0.8969912  0.00120649],[0.05266794 0.64162683 0.30308306 0.00262218]
30,حرارت، نور و صدا همگی اشکال مختلف ___ هستند.,"['سوخت', 'انرژی', 'ماده', 'الکتریسیته']",B,حرارت، نور و صدا انواع مختلف [MASK]‌اند.,B,0.9977158308029175,B,0.9969948530197144,True,True,True,False,[1.5000050e-03 9.9771583e-01 4.1653638e-04 3.6759206e-04],[2.1724147e-03 9.9699485e-01 3.7750907e-04 4.5536287e-04]
31,کدام یک از ویژگی‌های زیر توسط عناصر خانواده کربن به اشتراک گذاشته می‌شود؟,"['عدد اتمی ۶', 'جرم اتمی ۱۲', 'ساختار الکترونی یکسان', 'تعداد الکترون\u200cهای والانس']",D,عناصر خانواده کربن ۴ الکترون ظرفیت دارند که رفتار مشابهی در واکنش‌ها ایجاد,C,0.6934155225753784,C,0.6131057143211365,False,False,False,False,[0.15532748 0.04450206 0.6934155  0.10675491],[0.05013058 0.0098713  0.6131057  0.3268924 ]
32,کدام یک از این فعالیت‌های انسانی به انقراض گونه‌ها کمک نمی‌کند؟,"['شکار', 'تخریب زیستگاه', 'اکولوژی بازسازی', 'گونه\u200cهای غیربومی معرفی شده']",C,[MASK] به احیای زیستگاه‌ها کمک کرده و از انقراض گونه‌ها جلوگیری,B,0.31395941972732544,B,0.9263361096382141,False,False,False,False,[0.13190424 0.31395942 0.2770682  0.2770682 ],[0.04630006 0.9263361  0.01033094 0.01703284]
33,عدم تحمل لاکتوز وضعیتی در سیستم گوارش است که در آن شخص قادر به هضم لاکتوز، شکر موجود در شیر، نیست. فردی که به عدم تحمل لاکتوز مبتلا است، آنزیم لاکتاز کافی تولید نمی‌کند که برای شکستن لاکتوز لازم است. اگر تعداد بزرگسالان مبتلا به عدم تحمل لاکتوز بیشتر از کودکان باشد، این امر به چه معناست؟,"['تولید لاکتاز با گذشت زمان کاهش می\u200cیابد.', 'هضم غذا لاکتاز را تجزیه می\u200cکند.', 'عدم تحمل لاکتوز یک واکنش آلرژیک است.', 'عدم تحمل لاکتوز مسری است.']",A,افزایش عدم تحمل لاکتوز در بزرگ‌ترها نشان‌دهنده کاهش تولید آنزیم لا,A,0.9842245578765869,A,0.9988254904747009,True,True,True,True,[0.98422456 0.00758839 0.00460259 0.0035845 ],[9.9882549e-01 8.9712808e-04 1.5589748e-04 1.2141308e-04]
34,چهار ماده در ظرف‌های کوچک قرار می‌گیرند. این مواد سپس از ظرف‌های کوچک به ظرف‌های بزرگ‌تر منتقل می‌شوند. کدام ماده به‌طور کامل ظرف بزرگ‌تر را پر خواهد کرد؟,"['هوا', 'یخ', 'شن', 'آب']",A,[MASK] به‌عنوان مایع، به‌طور کامل ظرف بزرگ‌تر را پر می‌کند، در حالی که سایر,D,0.531457245349884,D,0.8053078055381775,False,False,False,False,[0.04943323 0.41389933 0.00521022 0.53145725],[0.03510741 0.15734048 0.00224434 0.8053078 ]
35,کدام یک از اجسام آسمانی زیر بیشترین چگالی را دارد؟,"['یک سیاره', 'یک شهاب\u200cواره', 'یک سحابی', 'یک ستاره نوترونی']",D,ستاره‌های نوترونی چگالی بسیار بالایی دارند، به طوری که یک قاشق چای‌خوری از آن‌ها,D,0.889293909072876,D,0.9563297629356384,True,True,True,True,[0.04997493 0.05662902 0.00410219 0.8892939 ],[0.03700858 0.00567545 0.00098625 0.95632976]
36,جنگل‌های بارانی گونه‌های درختی بیشتری نسبت به هر بیوم دیگری دارند. با این حال، دانشمندان متوجه شده‌اند که خاک سطح جنگل نسبتاً فقیر از مواد مغذی است. چه چیزی احتمالاً می‌تواند دلیل این مسئله باشد؟,"['عدم فرسایش دسترسی به مواد معدنی را کاهش می\u200cدهد.', 'مواد مغذی به\u200cوسیله\u200cی حیات گیاهی مصرف می\u200cشوند.', 'سطح جنگل به اندازه کافی نور خورشید دریافت نمی\u200cکند.', 'حیوانات مواد مغذی را می\u200cخورند.']",B,در جنگل‌های بارانی، گیاهان مواد مغذی خاک را مصرف می‌کنند و غ,B,0.9262003898620605,B,0.8811010718345642,True,True,True,False,[0.06683215 0.9262004  0.00491754 0.00204994],[0.10523252 0.8811011  0.01256823 0.0010982 ]
37,کدام یک از این ویژگی‌ها در انسان‌ها ارثی نیست؟,"['قد', 'رنگ مو', 'رنگ پوست', 'هوش']",D,[MASK] تحت تأثیر عوامل ژنتیکی و محیطی است و ارثی خالص,A,0.5928718447685242,A,0.45995843410491943,False,False,False,False,[0.59287184 0.11765902 0.07136381 0.21810538],[0.45995843 0.0622486  0.01783452 0.45995843]
38,لکه‌های آب روی پیاده‌رو به سرعت در حال تبخیر هستند. علت عمده تبخیر این لکه‌ها چیست؟,"['حرارت', 'ابرها', 'هوا', 'آب']",A,تبخیر به دما وابسته است؛ [MASK] بالا مولکول‌ها,A,0.9826138615608215,A,0.9535617828369141,True,True,True,False,[0.98261386 0.00976582 0.00169704 0.00592327],[0.9535618  0.01205055 0.00163086 0.0327568 ]
39,یک مهندس زمان لازم برای حرکت صدا از طریق نمونه‌های مختلف مواد را اندازه‌گیری کرد. تمام نمونه‌ها از نظر شکل و اندازه یکسان بودند. اندازه‌گیری‌ها با استفاده از امواج اولتراسونیک با فرکانس ۵ مگاهرتز انجام شد. مهندس احتمالاً سعی در پاسخ به کدام سؤال داشت؟,"['در کدام ماده صدا سریع\u200cتر حرکت می\u200cکند؟', 'در کدام ماده صدا دورتر می\u200cرود؟', 'آیا فرکانس بر مسافت حرکت صدا تأثیر می\u200cگذارد؟', 'آیا شکل محیط بر سرعت صدا تأثیر می\u200cگذارد؟']",A,مهندس زمان سفر صدا را در مواد مختلف اندازه‌گیری کرد تا سرعت حرکت صدا,A,0.8877829909324646,A,0.9877288341522217,True,True,True,True,[0.887783   0.01266354 0.00598183 0.09357163],[0.98772883 0.00245312 0.00666828 0.00314987]
40,کدامیک از موارد زیر شامل واحدهای متریک اندازه‌گیری نیست؟,"['گ، کیلوگرم، سانتی\u200cگرم', 'دسی\u200cلیتر، لیتر، میلی\u200cلیتر', 'پا، یارد، مایل', 'نیوتن، ژول، وات']",C,گزینه [MASK] شامل واحدهای غیر متریک امپریال است.,A,0.37268131971359253,A,0.35438796877861023,False,False,False,False,[0.37268132 0.19792955 0.05670777 0.37268132],[0.35438797 0.35438797 0.10153385 0.18969022]
41,چرخه زندگی شب پره چگونه با حشرات دیگر که دگرگونی ناقص را طی می‌کنند، متفاوت است؟,"['یک پیله ایجاد می\u200cکند.', 'به یک بزرگسال تبدیل می\u200cشود.', 'تخم می\u200cگذارد.', 'برگ\u200cها می\u200cخورد.']",A,چرخه زندگی پروانه‌ها شامل مرحله پیله‌سازی است، در حالی که حشرات با دگردیسی,B,0.4627525508403778,B,0.5512477159500122,False,False,False,False,[0.28067362 0.46275255 0.21858883 0.03798504],[0.37886664 0.5512477  0.050875   0.0190106 ]
42,مکیدگی زیستی آلودگی‌ها در کجا بیشترین احتمال وجود را دارد؟,"['در یک دلتای رودخانه', 'در یک اقیانوس آزاد', 'در یک ناحیه جزر و مدی', 'در یک چشمه حرارتی زیرآبی']",A,تجمع زیستی آلودگی‌ها در مناطق با تنوع زیستی بالا، مانند دلتای رودخانه، بیشتر,A,0.44640272855758667,A,0.9934558272361755,True,True,True,True,[0.44640273 0.14606242 0.39394903 0.01358592],[9.9345583e-01 3.6287380e-03 2.2009409e-03 7.1454083e-04]
43,نیروی جاذبه‌ای که توسط یک جسم وارد می‌شود به چه چیزی بستگی دارد؟,"['حجم.', 'وزن.', 'جرم.', 'اندازه.']",C,نیروی جاذبه به جرم جسم بستگی دارد؛ هر چه جرم بیشتر,B,0.49250707030296326,C,0.9830839037895203,False,True,True,True,[0.00702524 0.49250707 0.49250707 0.00796064],[0.00971341 0.00404915 0.9830839  0.00315348]
44,درختان احتمالاً چگونه محیطی را که در آن قرار دارند تغییر می‌دهند؟,"['آزاد کردن نیتروژن در خاک.', 'رقابت با گونه\u200cهای غیر بومی.', 'افزودن دی\u200cاکسید کربن به جو.', 'برداشت آب از خاک و بازگرداندن آن به جو.']",D,درختان با جذب آب و تبخیر آن، رطوبت و دما را تغییر می‌دهند.,A,0.6605489253997803,D,0.6519773602485657,False,True,True,True,[0.6605489  0.04222748 0.05422116 0.24300237],[0.12738287 0.01062088 0.21001886 0.65197736]
