,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num,is_correct
40,C,"Zoom lenses have a lower maximum aperture, making them less ideal for low-light conditions without a flash. Zoom lenses also have more lens elements and focal complexity than prime lenses, though advancements in lens production have lessened this disadvantage. However, zoom lenses now offer comparable image quality to prime lenses.","<explanation>Zoom lenses have a lower maximum aperture, making them less ideal for low-light conditions without a flash. Zoom lenses also have more lens elements and focal complexity than prime lenses, though advancements in lens production have lessened this disadvantage. However, zoom lenses now offer comparable image quality to prime lenses.</explanation>
<prediction>C</prediction>",13,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses. This is becoming less of an issue as lens manufacturers achieve higher standards in lens production. This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length. Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower. This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.

Question: Based on the information in the passage, when might a zoom lens be preferable to a prime lens?

Options:
A) If a high maximum aperture is a priority  
B) If you want less lens elements  
C) If you don’t want to use a flash in darker settings  
D) If you’re looking for more focal complexity

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
",The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses. This is becoming less of an issue as lens manufacturers achieve higher standards in lens production. This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length. Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower. This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.,"Based on the information in the passage, when might a zoom lens be preferable to a prime lens?",If a high maximum aperture is a priority,If you want less lens elements,If you don’t want to use a flash in darker settings,If you’re looking for more focal complexity,4,False
41,,"The zoom lens offers a range of focal lengths, which is an advantage over the prime lens's fixed focal length.","<explanation>The zoom lens offers a range of focal lengths, which is an advantage over the prime lens's fixed focal length.</explanation>",13,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses. This is becoming less of an issue as lens manufacturers achieve higher standards in lens production. This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length. Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower. This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.

Question: Based on the information in the passage, when might a zoom lens be preferable to a prime lens?

Options:
A) If a high maximum aperture is a priority  
B) If you want less lens elements  
C) If you don’t want to use a flash in darker settings  
D) If you’re looking for more focal complexity

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
",The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses. This is becoming less of an issue as lens manufacturers achieve higher standards in lens production. This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length. Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower. This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.,"Based on the information in the passage, when might a zoom lens be preferable to a prime lens?",If a high maximum aperture is a priority,If you want less lens elements,If you don’t want to use a flash in darker settings,If you’re looking for more focal complexity,4,
42,C,"The passage mentions that decorated elephants are part of temple festivals, seen in processions during these events.","<prediction>C</prediction>
<explanation>The passage mentions that decorated elephants are part of temple festivals, seen in processions during these events.</explanation>",14,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.

Question: Where can decorated elephants be seen?

Options:
A) Everywhere from end of November to mid-May  
B) In temples  
C) In processions at temple festivals  
D) On the streets of Kerala

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.",Where can decorated elephants be seen?,Everywhere from end of November to mid-May,In temples,In processions at temple festivals,On the streets of Kerala,3,True
43,C,"The passage mentions that decorated elephants are part of temple festivals, which are celebrated in temples and on the streets of Kerala during processions.","<explanation>The passage mentions that decorated elephants are part of temple festivals, which are celebrated in temples and on the streets of Kerala during processions.</explanation>
<prediction>C</prediction>",14,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.

Question: Where can decorated elephants be seen?

Options:
A) Everywhere from end of November to mid-May  
B) In temples  
C) In processions at temple festivals  
D) On the streets of Kerala

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.",Where can decorated elephants be seen?,Everywhere from end of November to mid-May,In temples,In processions at temple festivals,On the streets of Kerala,3,True
44,,The passage states that decorated elephants are part of the procession during temple festivals.,<explanation>The passage states that decorated elephants are part of the procession during temple festivals.</explanation>,14,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.

Question: Where can decorated elephants be seen?

Options:
A) Everywhere from end of November to mid-May  
B) In temples  
C) In processions at temple festivals  
D) On the streets of Kerala

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar. Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple. Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.",Where can decorated elephants be seen?,Everywhere from end of November to mid-May,In temples,In processions at temple festivals,On the streets of Kerala,3,
45,B,"Dr. Ur is skeptical about the possibility of a cure for diabetes, as he notes that the findings have no relevance to people who already have Type 1 diabetes.","<prediction>B</prediction>
<explanation>Dr. Ur is skeptical about the possibility of a cure for diabetes, as he notes that the findings have no relevance to people who already have Type 1 diabetes.</explanation>",15,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: """"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""

Question: According to the passage, what is Dr. Ur skeptical about?

Options:
A) If the findings are relevant for people with Type 1 diabetes  
B) If a cure is possible  
C) The opinions of other experts regarding a cure  
D) If the non-diabetic mice will remain that way

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","""""""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""","According to the passage, what is Dr. Ur skeptical about?",If the findings are relevant for people with Type 1 diabetes,If a cure is possible,The opinions of other experts regarding a cure,If the non-diabetic mice will remain that way,2,True
46,B,"Dr. Ur is skeptical about whether diabetes can be cured, and he notes that the findings have no relevance to people who already have Type 1 diabetes.","<explanation>Dr. Ur is skeptical about whether diabetes can be cured, and he notes that the findings have no relevance to people who already have Type 1 diabetes.</explanation>
<prediction>B</prediction>",15,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: """"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""

Question: According to the passage, what is Dr. Ur skeptical about?

Options:
A) If the findings are relevant for people with Type 1 diabetes  
B) If a cure is possible  
C) The opinions of other experts regarding a cure  
D) If the non-diabetic mice will remain that way

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","""""""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""","According to the passage, what is Dr. Ur skeptical about?",If the findings are relevant for people with Type 1 diabetes,If a cure is possible,The opinions of other experts regarding a cure,If the non-diabetic mice will remain that way,2,True
47,,"Dr. Ur expresses skepticism about ""whether diabetes can be cured,"" indicating doubt about the possibility of a cure, which aligns with option B.","<explanation>Dr. Ur expresses skepticism about ""whether diabetes can be cured,"" indicating doubt about the possibility of a cure, which aligns with option B.</explanation>",15,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (B).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: """"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""

Question: According to the passage, what is Dr. Ur skeptical about?

Options:
A) If the findings are relevant for people with Type 1 diabetes  
B) If a cure is possible  
C) The opinions of other experts regarding a cure  
D) If the non-diabetic mice will remain that way

Correct Answer: B

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","""""""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"""" he added. Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days. Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.""","According to the passage, what is Dr. Ur skeptical about?",If the findings are relevant for people with Type 1 diabetes,If a cure is possible,The opinions of other experts regarding a cure,If the non-diabetic mice will remain that way,2,
48,A,"The passage states that Eskimo tribes were already living in Greenland when Erik the Red arrived, suggesting they were the first settlers.","<prediction>A</prediction>
<explanation>The passage states that Eskimo tribes were already living in Greenland when Erik the Red arrived, suggesting they were the first settlers.</explanation>",16,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.

Question: Who settled in Greenland first?

Options:
A) Eskimo tribes  
B) Norwegians  
C) Erik the Red  
D) Swedes 

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.",Who settled in Greenland first?,Eskimo tribes,Norwegians,Erik the Red,Swedes ,1,True
49,A,"The passage states that Eskimo tribes were already living in Greenland when Erik the Red discovered it, so the answer is either A or C.","<explanation>The passage states that Eskimo tribes were already living in Greenland when Erik the Red discovered it, so the answer is either A or C.</explanation>
<prediction>A</prediction>",16,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.

Question: Who settled in Greenland first?

Options:
A) Eskimo tribes  
B) Norwegians  
C) Erik the Red  
D) Swedes 

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.",Who settled in Greenland first?,Eskimo tribes,Norwegians,Erik the Red,Swedes ,1,True
50,,"The passage states that when Erik the Red discovered Greenland, Eskimo tribes were already living there.","<explanation>The passage states that when Erik the Red discovered Greenland, Eskimo tribes were already living there.</explanation>",16,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (A).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.

Question: Who settled in Greenland first?

Options:
A) Eskimo tribes  
B) Norwegians  
C) Erik the Red  
D) Swedes 

Correct Answer: A

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland. But regardless of his discovery, Eskimo tribes were already living there at the time. Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.",Who settled in Greenland first?,Eskimo tribes,Norwegians,Erik the Red,Swedes ,1,
51,C,"The passage states that Fred is ""only the third major hurricane on record east of 35°W.""","<prediction>C</prediction>
<explanation>The passage states that Fred is ""only the third major hurricane on record east of 35°W.""</explanation>",17,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.

Question: Prior to Fred, how many major storms had been recorded east of 35°W?

Options:
A) None  
B) Three  
C) Two  
D) One

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Prior to Fred, how many major storms had been recorded east of 35°W?",None,Three,Two,One,3,True
52,C,"The passage states that Fred is ""only the third major hurricane on record east of 35°W.""","<explanation>The passage states that Fred is ""only the third major hurricane on record east of 35°W.""</explanation>
<prediction>C</prediction>",17,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.

Question: Prior to Fred, how many major storms had been recorded east of 35°W?

Options:
A) None  
B) Three  
C) Two  
D) One

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Prior to Fred, how many major storms had been recorded east of 35°W?",None,Three,Two,One,3,True
53,,"The passage states that Fred is ""only the third major hurricane on record east of 35°W.""","<explanation>The passage states that Fred is ""only the third major hurricane on record east of 35°W.""</explanation>",17,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.

Question: Prior to Fred, how many major storms had been recorded east of 35°W?

Options:
A) None  
B) Three  
C) Two  
D) One

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say. Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest. Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.","Prior to Fred, how many major storms had been recorded east of 35°W?",None,Three,Two,One,3,
54,D,"Alonso ended his race right after his pit-stop, which was before he could take the lead again.","<prediction>D</prediction>
<explanation>Alonso ended his race right after his pit-stop, which was before he could take the lead again.</explanation>",18,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.

Question: When did Alonso end his race?

Options:
A) After Schumacher damaged his front wheel  
B) Fisichella lost control of his car  
C) After Schumacher ended his own race  
D) Before taking the lead

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.",When did Alonso end his race?,After Schumacher damaged his front wheel,Fisichella lost control of his car,After Schumacher ended his own race,Before taking the lead,2,False
55,A,"Alonso ended his race after his pit-stop, which was after Schumacher damaged his suspension.","<explanation>Alonso ended his race after his pit-stop, which was after Schumacher damaged his suspension.</explanation>
<prediction>A</prediction>",18,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.

Question: When did Alonso end his race?

Options:
A) After Schumacher damaged his front wheel  
B) Fisichella lost control of his car  
C) After Schumacher ended his own race  
D) Before taking the lead

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.",When did Alonso end his race?,After Schumacher damaged his front wheel,Fisichella lost control of his car,After Schumacher ended his own race,Before taking the lead,2,False
56,,"Alonso ended his race after his pit-stop, which happened right after his teammate Fisichella lost control of his car at the start of the race.","<explanation>Alonso ended his race after his pit-stop, which happened right after his teammate Fisichella lost control of his car at the start of the race.</explanation>",18,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (B).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.

Question: When did Alonso end his race?

Options:
A) After Schumacher damaged his front wheel  
B) Fisichella lost control of his car  
C) After Schumacher ended his own race  
D) Before taking the lead

Correct Answer: B

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Giancarlo Fisichella lost control of his car and ended the race very soon after the start. His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel. Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.",When did Alonso end his race?,After Schumacher damaged his front wheel,Fisichella lost control of his car,After Schumacher ended his own race,Before taking the lead,2,
57,B,Success in the military and other occupations after the French Revolution was less likely to be based on class.,"<prediction>B</prediction>
<explanation>Success in the military and other occupations after the French Revolution was less likely to be based on class.</explanation>",19,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.

Question: Following the French Revolution, success in the military and other occupations was less likely to be based on what?

Options:
A) Achievement  
B) Class  
C) Ambition  
D) Caliber

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.","Following the French Revolution, success in the military and other occupations was less likely to be based on what?",Achievement,Class,Ambition,Caliber,2,True
