,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num
36,C,امپراتور ژاپن میزبان اولین مراسم شکوفه گیلاس بوده است.,"<prediction>C</prediction>
<explanation>امپراتور ژاپن میزبان اولین مراسم شکوفه گیلاس بوده است.</explanation>",12,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.

Question: چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟

Options:  
A) امپراطور چین  
B) اشراف ژاپنی  
C) امپراطور ژاپن  
D) اشراف چینی
",تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,3
37,C,در متن گفته شده که در ژاپن، اولین مراسم شکوفه گیلاس توسط امپراتور برگزار می‌شود. بنابراین، میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس، امپراتور ژاپن بوده است.,"<explanation>در متن گفته شده که در ژاپن، اولین مراسم شکوفه گیلاس توسط امپراتور برگزار می‌شود. بنابراین، میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس، امپراتور ژاپن بوده است.</explanation>
<prediction>C</prediction>",12,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.

Question: چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟

Options:  
A) امپراطور چین  
B) اشراف ژاپنی  
C) امپراطور ژاپن  
D) اشراف چینی
",تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,3
38,,"در متن گفته شده است که ""نخستین مراسم شکوفه گیلاس توسط امپراتور [ژاپن]"" برگزار می‌شود.","<explanation>در متن گفته شده است که ""نخستین مراسم شکوفه گیلاس توسط امپراتور [ژاپن]"" برگزار می‌شود.</explanation>",12,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (C) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.

Question: چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟

Options:  
A) امپراطور چین  
B) اشراف ژاپنی  
C) امپراطور ژاپن  
D) اشراف چینی

Correct Answer: C
",تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,3
39,C,قرون وسطی بالا دوره ای است که قبل از قرون وسطی آخری بوده است.,"<prediction>C</prediction> 
<explanation>قرون وسطی بالا دوره ای است که قبل از قرون وسطی آخری بوده است.</explanation>",13,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.

Question: کدام دوره زمانی قبل از عصر تمپلارها بوده است؟

Options:  
A) قرون وسطی اخری  
B) قرن 12ام  
C) قرون وسطی بالا  
D) قرن 13ام
",برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,3
40,A,قرون وسطی بالا بعد از قرون وسطی بوده است. بنابراین، قرون وسطی بالا بعد از دوره تمپلارها اتفاق افتاده است. بنابراین، قرون وسطی بالا نمی تواند قبل از عصر تمپلارها باشد. قرن 12ام و 13ام بخشی از قرون وسطی هستند که در آن تمپلارها وجود داشتند. بنابراین، این دو قرن نمی توانند قبل از عصر تمپلارها باشند. بنابراین، تنها گزینه باقی مانده قرون وسطی آخری است که قبل از قرون وسطی بالا و قرون وسطی اتفاق افتاده است.,"<explanation>قرون وسطی بالا بعد از قرون وسطی بوده است. بنابراین، قرون وسطی بالا بعد از دوره تمپلارها اتفاق افتاده است. بنابراین، قرون وسطی بالا نمی تواند قبل از عصر تمپلارها باشد. قرن 12ام و 13ام بخشی از قرون وسطی هستند که در آن تمپلارها وجود داشتند. بنابراین، این دو قرن نمی توانند قبل از عصر تمپلارها باشند. بنابراین، تنها گزینه باقی مانده قرون وسطی آخری است که قبل از قرون وسطی بالا و قرون وسطی اتفاق افتاده است.</explanation>
<prediction>A</prediction>",13,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.

Question: کدام دوره زمانی قبل از عصر تمپلارها بوده است؟

Options:  
A) قرون وسطی اخری  
B) قرن 12ام  
C) قرون وسطی بالا  
D) قرن 13ام
",برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,3
41,,این دوره زمانی که به عنوان قرون وسطی بالا شناخته می‌شود، در قرن یازدهم شکل گرفت و قبل از دوره‌ای که تمپلارها در آن ظهور کردند، یعنی قرون وسطی، قرار دارد.,<explanation>این دوره زمانی که به عنوان قرون وسطی بالا شناخته می‌شود، در قرن یازدهم شکل گرفت و قبل از دوره‌ای که تمپلارها در آن ظهور کردند، یعنی قرون وسطی، قرار دارد.</explanation>,13,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (C) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.

Question: کدام دوره زمانی قبل از عصر تمپلارها بوده است؟

Options:  
A) قرون وسطی اخری  
B) قرن 12ام  
C) قرون وسطی بالا  
D) قرن 13ام

Correct Answer: C
",برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,3
42,B,شیلی در سال 1818 بر اسپانیا پیروز شد.,"<prediction>B</prediction> 
<explanation>شیلی در سال 1818 بر اسپانیا پیروز شد.</explanation>",14,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.

Question: مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟

Options:  
A) دولت مرکزی وجود نداشت  
B) شیلی بر اسپانیا پیروز شد  
C) جنگ‌های ناپلئونی درحال انجام بود  
D) شیلی اعلام استقلال کرد
",قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,2
43,B,,"<explanation>اسپانیا در سال 1810 بدون دولت مرکزی بود، اما پیروزی قطعی شیلی بر اسپانیا در سال 1818 رخ داد. بنابراین، گزینه B نادرست است.
</explanation>
<prediction>B</prediction>",14,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.

Question: مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟

Options:  
A) دولت مرکزی وجود نداشت  
B) شیلی بر اسپانیا پیروز شد  
C) جنگ‌های ناپلئونی درحال انجام بود  
D) شیلی اعلام استقلال کرد
",قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,2
44,,پیروزی بر اسپانیا در سال 1818 بدست آمد، بنابراین شیلی در سال 1810 نتوانست بر اسپانیا پیروز شود.,<explanation>پیروزی بر اسپانیا در سال 1818 بدست آمد، بنابراین شیلی در سال 1810 نتوانست بر اسپانیا پیروز شود.</explanation>,14,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (B) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.

Question: مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟

Options:  
A) دولت مرکزی وجود نداشت  
B) شیلی بر اسپانیا پیروز شد  
C) جنگ‌های ناپلئونی درحال انجام بود  
D) شیلی اعلام استقلال کرد

Correct Answer: B
",قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,2
45,C,تیم ملی راگبی آفریقای جنوبی، اسپرینگ باکس، در مسابقه بعدی خود در ورزشگاه الیس پارک در ژوهانسبورگ به مصاف استرالیا خواهد رفت.,"<prediction>C</prediction> 
<explanation>تیم ملی راگبی آفریقای جنوبی، اسپرینگ باکس، در مسابقه بعدی خود در ورزشگاه الیس پارک در ژوهانسبورگ به مصاف استرالیا خواهد رفت.</explanation>",15,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.

Question: اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟

Options:  
A) استرالیا  
B) راستنبرگ  
C) ژوهانسبورگ  
D) نیوزلند
",تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,3
46,C,,"<explanation>بازی بعدی اسپرینگ باکس در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود.
</explanation>
<prediction>C</prediction>",15,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.

Question: اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟

Options:  
A) استرالیا  
B) راستنبرگ  
C) ژوهانسبورگ  
D) نیوزلند
",تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,3
47,,این مسابقه در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود.,<explanation>این مسابقه در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود.</explanation>,15,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (C) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.

Question: اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟

Options:  
A) استرالیا  
B) راستنبرگ  
C) ژوهانسبورگ  
D) نیوزلند

Correct Answer: C
",تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,3
