,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Parsed Answer,Parsed Explanation,Parsed Highlighted Context,Parsed Keywords
10,به دستور هروستراتوس، معبد آرتمیس در افسوس در 21 ژوئیه 356 قبل از میلاد آتش زده و تخریب شد. طبق این داستان، انگیزه او کسب شهرت به هر قیمتی بود. افسسیان با عصبانیت اعلام کردند نام هروستراتوس هرگز ثبت نشود. مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را می‌شناسیم. در همان شبی که اسکندر مقدونی به دنیا آمد، معبد نابود شد. الکساندر، در جایگاه پادشاه، پیشنهاد کرد که هزینه بازسازی مقبره را بپردازد، اما پیشنهادش رد شد. بعدها پس از مرگ الکساندر، مقبره در سال 323 قبل از میلاد بازسازی شد.,چه کسی باعث آگاهی ما از آتش افروزی است که معبد را ویران کرد؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که مورخ یونانی استرابو بود که به نام هروستراتوس اشاره کرد و باعث شد ما امروزه از این آتش افروزی و نقش او در ویرانی معبد آگاه باشیم.</explanation>

<highlight>مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را می‌شناسیم.</highlight>

<keywords> [""هروستراتوس""، ""معبد آرتمیس""، ""افسوس""، ""آتش‌سوزی""، ""مورخ یونانی""، ""استرابو""] </keywords>",افسسیان,الکساندر,استرابو,آرتمیس,3,در متن گفته شده که مورخ یونانی استرابو بود که به نام هروستراتوس اشاره کرد و باعث شد ما امروزه از این آتش افروزی و نقش او در ویرانی معبد آگاه باشیم.,مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را میشناسیم.,"['""هروستراتوس""، ""معبد آرتمیس""، ""افسوس""، ""آتشسوزی""، ""مورخ یونانی""، ""استرابو""']"
11,پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود. گزارشات بعدی بیان کرد که هواپیما تهدید بمب‌گذاری داشته است و با تغییر مسیر به سمت افغانستان، در قندهار نشسته است. گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,چه چیز در آخرین گزارش از آژانس خبری شینهووا بیان نشد؟,2,"<answer>2</answer>

<explanation>گزارش اولیه شینهووا تنها به ربوده شدن هواپیما اشاره کرده بود و هیچ اطلاعاتی درباره تهدید بمب‌گذاری، تغییر مسیر به سمت افغانستان یا فرود در قندهار ارائه نکرد.</explanation>

<highlight>پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود.</highlight>

<keywords> ['ربوده شدن هواپیما', 'تهدید بمب‌گذاری', 'تغییر مسیر', 'افغانستان', 'قندهار', 'فرود اضطراری', 'اورومچی'] </keywords>",هواپیما یک تهدید بمب‌گذاری دریافت کرد,هواپیما در اورومچی فرود آمد,مسیر هواپیما به سمت افغانستان عوض شد,هواپیما در قندهار فرود آمد,2,گزارش اولیه شینهووا تنها به ربوده شدن هواپیما اشاره کرده بود و هیچ اطلاعاتی درباره تهدید بمبگذاری، تغییر مسیر به سمت افغانستان یا فرود در قندهار ارائه نکرد.,پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود.,"[""'ربوده شدن هواپیما'"", ""'تهدید بمبگذاری'"", ""'تغییر مسیر'"", ""'افغانستان'"", ""'قندهار'"", ""'فرود اضطراری'"", ""'اورومچی'""]"
12,تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,3,"<answer>3-امپراطور ژاپن</answer>

<explanation>در متن گفته می‌شود که ""در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور [ژاپن] و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود."" این نشان می‌دهد که امپراتور ژاپن میزبان اولین گروه‌های مشاهده شکوفه‌های گیلاس بوده است.</explanation>

<highlight>در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.</highlight>

<keywords> [""ژاپن""، ""امپراطور""، ""مراسم شکوفه گیلاس""، ""میزبان""]</keywords>",امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,3-امپراطور ژاپن,"در متن گفته میشود که ""در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور [ژاپن] و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار میشود."" این نشان میدهد که امپراتور ژاپن میزبان اولین گروههای مشاهده شکوفههای گیلاس بوده است.",در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار میشود.,"['""ژاپن""، ""امپراطور""، ""مراسم شکوفه گیلاس""، ""میزبان""']"
13,برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که ""قرون وسطی بالا بعد از قرون وسطی شکل گرفت"". بنابراین، قرون وسطی بالا بعد از دوره‌ای که تمپلارها در آن وجود داشتند، اتفاق افتاد.</explanation>

<highlight>قرون وسطی بالا بعد از قرون وسطی شکل گرفت</highlight>

<keywords>[""تمپلارها""، ""قرون وسطی""، ""قرون وسطی بالا""، ""قرون وسطی آخری""]</keywords>",قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,3,"در متن گفته شده که ""قرون وسطی بالا بعد از قرون وسطی شکل گرفت"". بنابراین، قرون وسطی بالا بعد از دورهای که تمپلارها در آن وجود داشتند، اتفاق افتاد.",قرون وسطی بالا بعد از قرون وسطی شکل گرفت,"['""تمپلارها""، ""قرون وسطی""، ""قرون وسطی بالا""، ""قرون وسطی آخری""']"
14,قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,2,"<answer>2</answer>

<explanation>متن اشاره می‌کند که شیلی در سال 1810 اعلام استقلال کرد، اما پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد. بنابراین، گزینه 2 که بیان می‌کند ""شیلی بر اسپانیا پیروز شد"" در سال 1810 رخ نداده است.</explanation>

<highlight>اگرچه کشور شیلی در 1810 اعلام استقلال کرد، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.</highlight>

<keywords> ['شیلی', 'اعلام استقلال', 'پیروزی بر اسپانیا', '1810', '1818'] </keywords>",دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,2,"متن اشاره میکند که شیلی در سال 1810 اعلام استقلال کرد، اما پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد. بنابراین، گزینه 2 که بیان میکند ""شیلی بر اسپانیا پیروز شد"" در سال 1810 رخ نداده است.",اگرچه کشور شیلی در 1810 اعلام استقلال کرد، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,"[""'شیلی'"", ""'اعلام استقلال'"", ""'پیروزی بر اسپانیا'"", ""'1810'"", ""'1818'""]"
15,تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,3,"<answer>3</answer>

<explanation>
در متن گفته می‌شود که مسابقه بعدی سری در ژوهانسبورگ برگزار می‌شود و تیم اسپرینگ باکس در آن بازی خواهد کرد.
</explanation>

<highlight>هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.</highlight>

<keywords> ['راگبی', 'ورزشگاه', 'آفریقای جنوبی', 'استرالیا', 'ژوهانسبورگ'] </keywords>",استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,3,در متن گفته میشود که مسابقه بعدی سری در ژوهانسبورگ برگزار میشود و تیم اسپرینگ باکس در آن بازی خواهد کرد.,هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار میشود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی میکند.,"[""'راگبی'"", ""'ورزشگاه'"", ""'آفریقای جنوبی'"", ""'استرالیا'"", ""'ژوهانسبورگ'""]"
16,به این پدیده pH شیمیایی گفته می‌شود. می‌توانید یک شاخص با استفاده از آب کلم قرمز درست کنید. آب کلم بسته میزان اسیدی یا بازی (قلیایی) بودن ماده شیمیایی تغییر رنگ می‌دهد. سطح pH توسط مقدار یون‌های هیدروژن (H در pH) در ماده شیمیایی تست‌شده نشان داده می‌شود. یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است (زیرا اتم‌های هیدروژن فقط از یک پروتون و یک الکترون تشکیل می‌شوند).,چه چیزی از یون‌های هیدروژن حذف شد؟,4,"<answer>1</answer>

<explanation>در متن گفته می‌شود که «یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است». این نشان می‌دهد که چیزی که از یون‌های هیدروژن حذف شده، الکترون است.</explanation>

<highlight>یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است.</highlight>

<keywords> ['pH', 'شیمیایی', 'شاخص', 'آب کلم قرمز', 'اسیدی', 'بازی', 'قلیایی', 'یون‌های هیدروژن', 'پروتون', 'الکترون'] </keywords>",پروتون,pH,قلیا,الکترون‌ها,1,در متن گفته میشود که «یونهای هیدروژن پروتونهایی هستند که الکترون از آنها گرفته شده است». این نشان میدهد که چیزی که از یونهای هیدروژن حذف شده، الکترون است.,یونهای هیدروژن پروتونهایی هستند که الکترون از آنها گرفته شده است.,"[""'pH'"", ""'شیمیایی'"", ""'شاخص'"", ""'آب کلم قرمز'"", ""'اسیدی'"", ""'بازی'"", ""'قلیایی'"", ""'یونهای هیدروژن'"", ""'پروتون'"", ""'الکترون'""]"
17,«هسپرونیکوس الیزابتا» گونه‌ای از تیره «دونده‌خزندگان» است و پسرعموی ولاسیراپتور است. اعتقاد می‌رفت این پرنده شکاری تمام‌پر و خون‌گرم صاف روی دوپایش راه می‌رفته و پنجه‌هایی شبیه ولاسیراپتور داشته است. پنجه دومش بزرگتر بود که سبب نام‌گذاری «Hesperonychus» به معنی «پنجه غربی» شد.,معنای «Hesperonychus» (هسپرونیکوس) از کدام ویژگی فیزیکی این گونه گرفته شده است؟,1,"<answer>1</answer>

<explanation>نام ""هسپرونیکوس"" به معنی ""پنجه غربی"" است که اشاره به ویژگی فیزیکی متمایز این گونه، یعنی داشتن یک پنجه بزرگ در پا دارد.</explanation>

<highlight>نام «هسپرونیکوس» به معنی «پنجه غربی» است که به دلیل داشتن یک پنجه بزرگ در پاهایشان نام‌گذاری شده‌اند.</highlight>

<keywords> ['هسپرونیکوس', 'پنجه', 'غربی', 'پنجه_بزرگ'] </keywords>",پنجه(ها),بدن پوشیده از پر,پاها,منقار,1,"نام ""هسپرونیکوس"" به معنی ""پنجه غربی"" است که اشاره به ویژگی فیزیکی متمایز این گونه، یعنی داشتن یک پنجه بزرگ در پا دارد.",نام «هسپرونیکوس» به معنی «پنجه غربی» است که به دلیل داشتن یک پنجه بزرگ در پاهایشان نامگذاری شدهاند.,"[""'هسپرونیکوس'"", ""'پنجه'"", ""'غربی'"", ""'پنجه_بزرگ'""]"
18,یک پلیس سابق فیلیپینی با ربودن یک اتوبوس در مانیل، پایتخت فیلیپین، گردشگران هنگ کنگی را به گروگان گرفته است. رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد. چندین تن از گروگان‌ها نجات یافته‌اند و تاکنون مرگ حداقل شش نفر تایید شده است. شش گروگان شامل كودكان و سالمندان، همینطور عكاسان فیلیپینی، در ابتدا آزاد شدند. عکاس‌ها سپس جای یک زن سالخورده که نیاز به دستشویی داشت را گرفتند. مندوزا با گلوله از پای درآورده شد.,با توجه به متن، رولاندو مندوزا چه کسی را گروگان نگرفت؟,2,"<answer>4</answer>

<explanation>متن اشاره می‌کند که رونالدو مندوزا، گردشگران هنگ کنگی را گروگان گرفته است. همچنین، در ادامه ذکر شده که چندین تن از گروگان‌ها نجات یافته‌اند و عکاسان فیلیپینی در ابتدا آزاد شدند. بنابراین، می‌توان نتیجه گرفت که مندوزا عکاسان را گروگان نگرفته است.</explanation>

<highlight>رونالدو مندوزا، گردشگران هنگ کنگی را گروگان گرفت. عکاسان فیلیپینی در ابتدا آزاد شدند.</highlight>

<keywords>[""گروگان""، ""رونالدو مندوزا""، ""گردشگران هنگ کنگی""، ""عکاسان فیلیپینی""]</keywords>",گردشگران,پلیس,کودکان,عکاسان,4,متن اشاره میکند که رونالدو مندوزا، گردشگران هنگ کنگی را گروگان گرفته است. همچنین، در ادامه ذکر شده که چندین تن از گروگانها نجات یافتهاند و عکاسان فیلیپینی در ابتدا آزاد شدند. بنابراین، میتوان نتیجه گرفت که مندوزا عکاسان را گروگان نگرفته است.,رونالدو مندوزا، گردشگران هنگ کنگی را گروگان گرفت. عکاسان فیلیپینی در ابتدا آزاد شدند.,"['""گروگان""، ""رونالدو مندوزا""، ""گردشگران هنگ کنگی""، ""عکاسان فیلیپینی""']"
19,هدف اصلی علم کشف نحوه کار جهان از طریق روش علمی است. این روش در واقع اکثر تحقیقات علمی را هدایت می‌کند. با این‌حال این مورد به تنهایی نیست، آزمایش و یک تجربه است که برای از بین بردن یک یا چند فرضیه احتمالی، پرسیدن سؤال‌ها و ایجاد مشاهدات و نیز هدایت تحقیقات علمی لازم است.,با توجه به این متن، چه چیزی به هدایت تحقیقات علمی کمک نمی‌کند؟,1,"<answer>1-روش علمی به تنهایی</answer>

<explanation>در متن گفته شده که روش علمی اکثر تحقیقات علمی را هدایت می‌کند، اما اشاره شده که این روش به تنهایی نیست که این کار را انجام می‌دهد. بنابراین، روش علمی به تنهایی کافی نیست و باید همراه با سایر مراحل مانند آزمایش، تجربه، پرسیدن سوالات، حذف فرضیه‌ها و انجام مشاهدات باشد تا بتواند به هدایت تحقیقات علمی کمک کند.</explanation>

<highlight>هدف اصلی علم کشف نحوه کار جهان از طریق روش علمی است. این روش در واقع اکثر تحقیقات علمی را هدایت می‌کند. با این‌حال این مورد به تنهایی نیست</highlight>

<keywords> [""روش علمی""، ""تحقیقات علمی""، ""آزمایش""، ""مشاهدات""، ""فرضیه""] </keywords>",روش علمی به تنهایی,انجام مشاهدات,حذف فرضیه‌های ممکن,انجام آزمایشات,1-روش علمی به تنهایی,در متن گفته شده که روش علمی اکثر تحقیقات علمی را هدایت میکند، اما اشاره شده که این روش به تنهایی نیست که این کار را انجام میدهد. بنابراین، روش علمی به تنهایی کافی نیست و باید همراه با سایر مراحل مانند آزمایش، تجربه، پرسیدن سوالات، حذف فرضیهها و انجام مشاهدات باشد تا بتواند به هدایت تحقیقات علمی کمک کند.,هدف اصلی علم کشف نحوه کار جهان از طریق روش علمی است. این روش در واقع اکثر تحقیقات علمی را هدایت میکند. با اینحال این مورد به تنهایی نیست,"['""روش علمی""، ""تحقیقات علمی""، ""آزمایش""، ""مشاهدات""، ""فرضیه""']"
20,وقتی با کسی تماس می‌گیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده می‌کنید. ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند. این ماهواره توسط یک موشک به فضا فرستاده شد. دانشمندان از تلسکوپ‌ها در فضا استفاده می‌کنند زیرا جو زمین برخی از نورها و تصاویر را تحریف می‌کند. برای قرار دادن یک ماهواره یا تلسکوپ در فضا نیاز به موشکی بزرگ با ارتفاع بیش از 100 پا می‌باشد.,کدام مورد نشانگر انعکاس تماس‌ از راه دور به پایین در زمین است؟,2,"<answer>2</answer>

<explanation>در متن گفته شده که ماهواره‌ها تماس‌های تلفنی را دریافت می‌کنند و آنها را تقریباً به‌صورت آنی به زمین منعکس می‌کنند. بنابراین، ماهواره‌ها نشان‌دهنده انعکاس تماس‌های تلفنی از راه دور به پایین در زمین هستند.</explanation>

<highlight>وقتی با کسی تماس می‌گیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده می‌کنید. ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند.</highlight>

<keywords> ['تماس تلفنی', 'فاصله', 'ماهواره', 'فضا', 'انعکاس', 'موشک', 'تلسکوپ', 'جو زمین', 'نور', 'تصویر'] </keywords>",تلسکوپ‌ها,ماهواره‌ها ,چراغ‌ها,موشک‌ها,2,در متن گفته شده که ماهوارهها تماسهای تلفنی را دریافت میکنند و آنها را تقریباً بهصورت آنی به زمین منعکس میکنند. بنابراین، ماهوارهها نشاندهنده انعکاس تماسهای تلفنی از راه دور به پایین در زمین هستند.,وقتی با کسی تماس میگیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده میکنید. ماهواره در فضا تماس را دریافت میکند و آن را تقریباً بهصورت آنی به پایین منعکس میکند.,"[""'تماس تلفنی'"", ""'فاصله'"", ""'ماهواره'"", ""'فضا'"", ""'انعکاس'"", ""'موشک'"", ""'تلسکوپ'"", ""'جو زمین'"", ""'نور'"", ""'تصویر'""]"
21,اکثر معابد یک جشنواره سالانه دارند که از آخر ماه نوامبر تا وسط ماه مه ادامه دارد و طبق تقویم سالانه هر معبد متفاوت است. اکثر جشنواره‌های معبد به‌عنوان بخشی از جشن سالگرد معبد یا زادروز خدای حاکم یا هر رویداد مهم مرتبط با معبد برگزار می‌شود. جشنواره‌های معبد کرالا با داشتن موکب‌های منظم از فیل‌های مزین، ارکستر معبد و دیگر مراسم، رویدادی بسیار دیدنی هستند.,کدام رویداد مرتبط با جشن گرفتن جشنواره‌های معبد نیست؟,1,"<answer>1</answer>

<explanation>جشنواره‌های معبد معمولاً با رویدادهایی مانند جشن سالگرد معبد، تولد خدایان یا سایر رویدادهای مهم مرتبط هستند. هیچ اشاره‌ای به تولد فیل‌ها به عنوان بخشی از این جشن‌ها نشده است.</explanation>

<highlight>جشنواره‌های معبد کرالا با داشتن موکب‌های منظم از فیل‌های مزین، ارکستر معبد و دیگر مراسم، رویدادی بسیار دیدنی هستند.</highlight>

<keywords> [""جشنواره سالانه""، ""معبد""، ""جشن سالگرد""، ""زادروز خدایان""، ""فیل‌های مزین""، ""ارکستر معبد""]</keywords>",تولد فیل,سالگرد معبد,زادروز خدای حاکم,رویدادهای مهم مربوط به معبد,1,جشنوارههای معبد معمولاً با رویدادهایی مانند جشن سالگرد معبد، تولد خدایان یا سایر رویدادهای مهم مرتبط هستند. هیچ اشارهای به تولد فیلها به عنوان بخشی از این جشنها نشده است.,جشنوارههای معبد کرالا با داشتن موکبهای منظم از فیلهای مزین، ارکستر معبد و دیگر مراسم، رویدادی بسیار دیدنی هستند.,"['""جشنواره سالانه""، ""معبد""، ""جشن سالگرد""، ""زادروز خدایان""، ""فیلهای مزین""، ""ارکستر معبد""']"
22,آنفولانزای مرغی، یا به‌اصطلاح رسمی‌تر آن آنفولانزای پرندگان، می‌تواند سبب ابتلای پرندگان و نیز پستانداران شود. تاکنون کمتر از هزار مورد در انسان گزارش شده است، اما برخی از آنها کشنده بوده است. بیشتر آنها افرادی را درگیر کرده‌اند که با مرغداری کار می‌کنند، اما خطراتی برای پرنده‌نگری نیز وجود دارد.,مطابق با متن، کدام‌یک از عبارت‌های زیر آنفولانزای پرندگان را به‌طور دقیق توصیف می‌کند؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که آنفولانزای پرندگان می‌تواند هم پرندگان و هم پستانداران را مبتلا کند. همچنین، اشاره شده که این بیماری کمتر از هزار بار در انسان‌ها گزارش شده، اما برخی از این موارد کشنده بوده است. آن دسته از افرادی که بیشتر در معرض خطر بوده‌اند، کسانی هستند که در مرغداری کار می‌کنند، اما همچنین به این نکته اشاره شده که پرنده‌نگری نیز ممکن است خطراتی داشته باشد. بنابراین، گزینه سوم به درستی نشان می‌دهد که تماشاکنندگان پرندگان (پرنده‌نگرها) در معرض خطر ابتلا به این بیماری قرار دارند.</explanation>

<highlight>آنفولانزای پرندگان می‌تواند هم پرندگان و هم پستانداران را مبتلا کند. ... بیشتر آنها افرادی را درگیر کرده که با مرغداری کار می‌کنند، اما خطراتی برای پرنده‌نگری نیز وجود دارد.</highlight>

<keywords> [""آنفولانزای پرندگان""، ""پرندگان""، ""پستانداران""، ""انسان""، ""مرگبار""، ""کارکنان مرغداری""، ""پرنده‌نگری""]</keywords>",فقط کارکنان مرغداری به آنفولانزا مبتلا شده‌اند,موارد بیشتری در انسان‌ها نسبت به پرنده‌ها گزارش شده است,تماشاکنندگان پرندگان در خطر مبتلا شدن هستند,تمام موارد گزارش شده در انسان‌ها مرگبار بوده است,3,در متن گفته شده که آنفولانزای پرندگان میتواند هم پرندگان و هم پستانداران را مبتلا کند. همچنین، اشاره شده که این بیماری کمتر از هزار بار در انسانها گزارش شده، اما برخی از این موارد کشنده بوده است. آن دسته از افرادی که بیشتر در معرض خطر بودهاند، کسانی هستند که در مرغداری کار میکنند، اما همچنین به این نکته اشاره شده که پرندهنگری نیز ممکن است خطراتی داشته باشد. بنابراین، گزینه سوم به درستی نشان میدهد که تماشاکنندگان پرندگان (پرندهنگرها) در معرض خطر ابتلا به این بیماری قرار دارند.,آنفولانزای پرندگان میتواند هم پرندگان و هم پستانداران را مبتلا کند. ... بیشتر آنها افرادی را درگیر کرده که با مرغداری کار میکنند، اما خطراتی برای پرندهنگری نیز وجود دارد.,"['""آنفولانزای پرندگان""، ""پرندگان""، ""پستانداران""، ""انسان""، ""مرگبار""، ""کارکنان مرغداری""، ""پرندهنگری""']"
23,در طی سه دهه آخر، علیرغم اینکه چین رسماً دولت کمونیستی مانده است، نوعی اقتصاد بازار را توسعه داده است. اولین اصلاحات اقتصادی تحت رهبری «دنگ شیائوپینگ» صورت گرفت. از آن زمان به بعد، اقتصاد چین 90 برابر شده است. سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد و ایالات متحده که بزرگترین بازار این صنعت را دارد را مغلوب کرد. تولید ناخالص داخلی چین توانست طی دو دهه از ایالات متحده بالاتر شود.,با توجه به متن، کدام یک از عبارات زیر به درستی نشانگر اقتصاد چین نیست؟,4,"<answer>4</answer>

<explanation>متن می‌گوید که چین برای اولین بار خودروهای بیشتری نسبت به آلمان صادر کرد، بنابراین گزینه چهارم که ادعا می‌کند چین هرگز بیشتر از آلمان خودرو صادر نکرده است، نادرست است و به درستی اقتصاد چین را نشان نمی‌دهد.</explanation>

<highlight>سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد</highlight>

<keywords> [""چین""، ""اقتصاد""، ""صادرات خودرو""، ""آلمان""، ""بازار""] </keywords>",اقتصاد چین از زمان انجام اصلاحات به طور تصاعدی رشد کرده است,چین بازار بزرگتری برای صادرات خودرو نسبت به ایالات متحده دارد,چین در نهایت توانست GDP بزرگتری نسبت به ایالات متحده داشته باشد,چین هرگز بیشتر از آلمان خودرو صادر نکرده است,4,متن میگوید که چین برای اولین بار خودروهای بیشتری نسبت به آلمان صادر کرد، بنابراین گزینه چهارم که ادعا میکند چین هرگز بیشتر از آلمان خودرو صادر نکرده است، نادرست است و به درستی اقتصاد چین را نشان نمیدهد.,سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد,"['""چین""، ""اقتصاد""، ""صادرات خودرو""، ""آلمان""، ""بازار""']"
24,سپاه مهندسی ارتش ایالات متحده تخمین زده که 6 اینچ باران می‌تواند از آب‌بندهای از قبل‌آسیب‌دیده نفوذ کند. بخش «ناینت وارد» (Ninth Ward) که در زمان توفان کاترینا شاهد سیل به بلندی 20 فوت بود اکنون با سر ریز شدن آببند اطراف تا کمر در آب فرو رفته است. در قسمتی به عرض 100 فوت، آب در حال ریختن به داخل خاکریز است.,در طول طوفان کاترینا، در Ninth Ward چه اتفاقی رخ داد؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که در زمان توفان کاترینا، بخش «ناینت وارد» شاهد سیل به بلندی 20 فوت بوده است.</explanation>

<highlight>در زمان توفان کاترینا، بخش «ناینت وارد» شاهد سیل به بلندی 20 فوت بود.</highlight>

<keywords> ['سپاه مهندسی ارتش', 'ایالات متحده', 'باران', 'آب‌بند', 'ناینت وارد', 'توفان کاترینا', 'سیل', 'آب'] </keywords>",آب سیل 100 فوت عرض داشت,آب با ارتفاع تا کمر از روی آب‌بند گذشت,آب‌های سیل 20 فوت ارتفاع داشت,6 اینچ بارندگی از آب‌بند آسیب‌دیده نفوذ کرد,3,در متن گفته شده که در زمان توفان کاترینا، بخش «ناینت وارد» شاهد سیل به بلندی 20 فوت بوده است.,در زمان توفان کاترینا، بخش «ناینت وارد» شاهد سیل به بلندی 20 فوت بود.,"[""'سپاه مهندسی ارتش'"", ""'ایالات متحده'"", ""'باران'"", ""'آببند'"", ""'ناینت وارد'"", ""'توفان کاترینا'"", ""'سیل'"", ""'آب'""]"
