,link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
139,https://en.wikibooks.org/wiki/The_Seven_Wonders_of_the_World/The_Temple_of_Artemis,1,به دستور هروستراتوس، معبد آرتمیس در افسوس در 21 ژوئیه 356 قبل از میلاد آتش زده و تخریب شد. طبق این داستان، انگیزه او کسب شهرت به هر قیمتی بود. افسسیان با عصبانیت اعلام کردند نام هروستراتوس هرگز ثبت نشود. مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را می‌شناسیم. در همان شبی که اسکندر مقدونی به دنیا آمد، معبد نابود شد. الکساندر، در جایگاه پادشاه، پیشنهاد کرد که هزینه بازسازی مقبره را بپردازد، اما پیشنهادش رد شد. بعدها پس از مرگ الکساندر، مقبره در سال 323 قبل از میلاد بازسازی شد.,چه کسی باعث آگاهی ما از آتش افروزی است که معبد را ویران کرد؟,افسسیان,الکساندر,استرابو,آرتمیس,3,pes_Arab,2023-06-07
533,"https://en.wikinews.org/wiki/No_bomb_threat,_hijacking_of_plane_in_China%27s_Xinjiang_region_according_to_Afghan_officials",1,پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود. گزارشات بعدی بیان کرد که هواپیما تهدید بمب‌گذاری داشته است و با تغییر مسیر به سمت افغانستان، در قندهار نشسته است. گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,چه چیز در آخرین گزارش از آژانس خبری شینهووا بیان نشد؟,هواپیما یک تهدید بمب‌گذاری دریافت کرد,هواپیما در اورومچی فرود آمد,مسیر هواپیما به سمت افغانستان عوض شد,هواپیما در قندهار فرود آمد,2,pes_Arab,2023-06-07
801,https://en.wikivoyage.org/wiki/Japan%27s_Top_100_Cherry_Blossom_Spots,2,تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,3,pes_Arab,2023-06-07
120,https://en.wikibooks.org/wiki/Remembering_the_Templars,1,برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,3,pes_Arab,2023-06-07
711,https://en.wikivoyage.org/wiki/Chile,2,قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,2,pes_Arab,2023-06-07
590,https://en.wikinews.org/wiki/South_Africa_end_All_Blacks%27_15-game_winning_streak,2,تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,3,pes_Arab,2023-06-07
168,https://en.wikibooks.org/wiki/Wikijunior:Big_Book_of_Fun_Science_Experiments/Red_cabbage_indicator,2,به این پدیده pH شیمیایی گفته می‌شود. می‌توانید یک شاخص با استفاده از آب کلم قرمز درست کنید. آب کلم بسته میزان اسیدی یا بازی (قلیایی) بودن ماده شیمیایی تغییر رنگ می‌دهد. سطح pH توسط مقدار یون‌های هیدروژن (H در pH) در ماده شیمیایی تست‌شده نشان داده می‌شود. یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است (زیرا اتم‌های هیدروژن فقط از یک پروتون و یک الکترون تشکیل می‌شوند).,چه چیزی از یون‌های هیدروژن حذف شد؟,پروتون,pH,قلیا,الکترون‌ها,4,pes_Arab,2023-06-07
422,https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada,2,«هسپرونیکوس الیزابتا» گونه‌ای از تیره «دونده‌خزندگان» است و پسرعموی ولاسیراپتور است. اعتقاد می‌رفت این پرنده شکاری تمام‌پر و خون‌گرم صاف روی دوپایش راه می‌رفته و پنجه‌هایی شبیه ولاسیراپتور داشته است. پنجه دومش بزرگتر بود که سبب نام‌گذاری «Hesperonychus» به معنی «پنجه غربی» شد.,معنای «Hesperonychus» (هسپرونیکوس) از کدام ویژگی فیزیکی این گونه گرفته شده است؟,پنجه(ها),بدن پوشیده از پر,پاها,منقار,1,pes_Arab,2023-06-07
447,"https://en.wikinews.org/wiki/Hong_Kong_tourists_held_hostage_in_the_Philippines,_nine_killed",1,یک پلیس سابق فیلیپینی با ربودن یک اتوبوس در مانیل، پایتخت فیلیپین، گردشگران هنگ کنگی را به گروگان گرفته است. رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد. چندین تن از گروگان‌ها نجات یافته‌اند و تاکنون مرگ حداقل شش نفر تایید شده است. شش گروگان شامل كودكان و سالمندان، همینطور عكاسان فیلیپینی، در ابتدا آزاد شدند. عکاس‌ها سپس جای یک زن سالخورده که نیاز به دستشویی داشت را گرفتند. مندوزا با گلوله از پای درآورده شد.,با توجه به متن، رولاندو مندوزا چه کسی را گروگان نگرفت؟,گردشگران,پلیس,کودکان,عکاسان,2,pes_Arab,2023-06-07
67,https://en.wikibooks.org/wiki/High_School_Biology/Nature_of_Science,2,هدف اصلی علم کشف نحوه کار جهان از طریق روش علمی است. این روش در واقع اکثر تحقیقات علمی را هدایت می‌کند. با این‌حال این مورد به تنهایی نیست، آزمایش و یک تجربه است که برای از بین بردن یک یا چند فرضیه احتمالی، پرسیدن سؤال‌ها و ایجاد مشاهدات و نیز هدایت تحقیقات علمی لازم است.,با توجه به این متن، چه چیزی به هدایت تحقیقات علمی کمک نمی‌کند؟,روش علمی به تنهایی,انجام مشاهدات,حذف فرضیه‌های ممکن,انجام آزمایشات,1,pes_Arab,2023-06-07
