Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Explanation:,Highlight,Keywords:
به دستور هروستراتوس، معبد آرتمیس در افسوس در 21 ژوئیه 356 قبل از میلاد آتش زده و تخریب شد. طبق این داستان، انگیزه او کسب شهرت به هر قیمتی بود. افسسیان با عصبانیت اعلام کردند نام هروستراتوس هرگز ثبت نشود. مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را می‌شناسیم. در همان شبی که اسکندر مقدونی به دنیا آمد، معبد نابود شد. الکساندر، در جایگاه پادشاه، پیشنهاد کرد که هزینه بازسازی مقبره را بپردازد، اما پیشنهادش رد شد. بعدها پس از مرگ الکساندر، مقبره در سال 323 قبل از میلاد بازسازی شد.,چه کسی باعث آگاهی ما از آتش افروزی است که معبد را ویران کرد؟,3,3,افسسیان,الکساندر,استرابو,آرتمیس,در این متن، به نقش استرابو، مورخ یونانی، در ثبت نام هروستراتوس، عامل آتش‌افروزی معبد آرتمیس، اشاره شده است. استرابو با ذکر نام هروستراتوس، باعث شده است که امروزه از این فرد به عنوان عامل این واقعه آگاهی داشته باشیم. اگرچه افسسیان اعلام کردند که نام هروستراتوس ثبت نشود، اما استرابو با ثبت نام او، این اطلاعات را برای ما حفظ کرده است. بنابراین، استرابو نقش کلیدی در آگاهی ما از این واقعه تاریخی ایفا کرده است. ,مورخ یونانی استرابو بعداً به نام آن اشاره كرده و اینگونه است كه امروزه آن را می‌شناسیم.,"['مورخ یونانی', 'استرابو', 'ثبت نام', 'هروستراتوس', 'آتش\u200cافروزی', 'معبد آرتمیس']"
پیش از این خبرگزاری چینی شینهووا از ربوده شدن هواپیما خبر داده بود. گزارشات بعدی بیان کرد که هواپیما تهدید بمب‌گذاری داشته است و با تغییر مسیر به سمت افغانستان، در قندهار نشسته است. گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,چه چیز در آخرین گزارش از آژانس خبری شینهووا بیان نشد؟,2,2,هواپیما یک تهدید بمب‌گذاری دریافت کرد,هواپیما در اورومچی فرود آمد,مسیر هواپیما به سمت افغانستان عوض شد,هواپیما در قندهار فرود آمد,در این متن، گزارش‌های اولیه نشان می‌دهد که هواپیما اجازه فرود اضطراری در اورومچی را دریافت نکرده است، اما در مورد فرود واقعی در اورومچی صحبتی نشده است. این بخش از متن را در نظر بگیرید: 'گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.' این جمله به وضوح نشان می‌دهد که هواپیما در اورومچی فرود نیامده است، اما این اطلاعات در گزارش آژانس خبری شینهووا ذکر نشده است. بنابراین، گزینه 2 صحیح است. ,گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,"['ربوده شدن هواپیما', 'تهدید بمب\u200cگذاری', 'تغییر مسیر', 'افغانستان', 'قندهار', 'اورومچی', 'فرود اضطراری']"
تماشای شکوفه‌های گیلاس (هانامی) از قرن هشتم بخشی از فرهنگ ژاپن بوده است. این مفهوم از چین آمده است که گل منتخبش شکوفه‌های آلو بوده است. در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,چه کسانی میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بودند؟,3,3,امپراطور چین,اشراف ژاپنی,امپراطور ژاپن,اشراف چینی,در متن به صراحت آمده است که امپراتور ژاپن میزبان مراسم شکوفه‌های گیلاس بوده است. این مراسم در ابتدا فقط برای امپراتور و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شده است. بنابراین، امپراتور ژاپن میزبان اولین گروه‌های مختص مشاهده شکوفه‌های گیلاس بوده است. ,در ژاپن، نخستین مراسم شکوفه گیلاس توسط امپراتور و تنها برای خود او و اعضای اشرافی نزدیک به دربار امپراتوری برگزار می‌شود.,"['امپراتور', 'دربار امپراتوری', 'اشراف', 'مراسم', 'شکوفه\u200cهای گیلاس']"
برای درک تمپلارها باید زمینه ای که موجب ایجاد این نظم شده است را درک کنید. عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند، دوره‌ای از تاریخ اروپا در قرن یازدهم، دوازدهم، و سیزدهم (1000 تا 1300 پس از میلاد). قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود، که توسط کنوانسیون در حدود 1500 به پایان می رسد.,کدام دوره زمانی قبل از عصر تمپلارها بوده است؟,3,3,قرون وسطی اخری,قرن 12ام,قرون وسطی بالا,قرن 13ام,با توجه به متن، دوره‌ای از تاریخ اروپا که قبل از ظهور تمپلارها قرار می‌گیرد، قرون وسطی است. متن به صراحت بیان می‌کند که «عصری که این رویدادها در آن اتفاق افتاد را عموما قرون وسطی می‌نامند». سپس، توضیح می‌دهد که قرون وسطی به سه دوره تقسیم می‌شود: قرون وسطی، قرون وسطی بالا، و قرون وسطی آخری. از آنجایی که قرون وسطی بالا بعد از قرون وسطی اصلی قرار می‌گیرد، می‌توان نتیجه گرفت که این دوره قبل از عصر تمپلارها بوده است. این استدلال با ساختار زمانی ارائه‌شده در متن همخوانی دارد. ,قرون وسطی بالا بعد از قرون وسطی شکل گرفت و بعد از آن قرون وسطی آخری بود,"['قرون وسطی', 'عصر', 'تمپلار', 'قرن یازدهم', 'دوازدهم', 'سیزدهم', 'بالا', 'اخری']"
قبل از رسیدن اسپانیایی‌ها در قرن 16ام، شیلی شمالی تحت حاکمیت اینکا بود درحالیکه قوم ماپوچه در شیلی مرکزی و جنوبی زندگی می‌کردند. ماپوچه همچنین یکی از آخرین گروه‌های بومی آمریکا بودند که بطور کامل در حکومت اسپانیایی‌زبان تا پس از استقلال شیلی جذب نشدند. اگرچه کشور شیلی در 1810 اعلام استقلال کرد(در بحبوحه جنگ‌های ناپلئونی که باعث شد اسپانیا چند سال بدون دولتی با عملکرد مرکزی باقی بماند)، پیروزی قطعی بر اسپانیا تا سال 1818 بدست نیامد.,مطابق متن، کدام‌یک از موارد زیر در سال 1810 رخ نداد؟,2,2,دولت مرکزی وجود نداشت,شیلی بر اسپانیا پیروز شد,جنگ‌های ناپلئونی درحال انجام بود,شیلی اعلام استقلال کرد,در متن به صراحت بیان شده است که شیلی در سال 1810 اعلام استقلال کرد و جنگ‌های ناپلئونی در حال انجام بود. همچنین، اشاره شده است که اسپانیا چند سال بدون دولت مرکزی باقی ماند، اما مشخص نشده است که این اتفاق دقیقاً در سال 1810 رخ داده است. با این حال، مهم‌ترین نکته این است که در متن ذکر شده است که پیروزی قطعی بر اسپانیا تا سال 1818 به دست نیامد. بنابراین، می‌توان نتیجه گرفت که گزینه 2، یعنی پیروزی شیلی بر اسپانیا، در سال 1810 رخ نداده است. ,با این حال، مهم‌ترین نکته این است که در متن ذکر شده است که پیروزی قطعی بر اسپانیا تا سال 1818 به دست نیامد.,"['سال 1810', 'اعلام استقلال', 'جنگ\u200cهای ناپلئونی', 'سال 1818', 'پیروزی بر اسپانیا']"
تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,اسپرینگ باکس مسابقه بعدی خود را در کجا بازی خواهد کرد؟,3,3,استرالیا,راستنبرگ,ژوهانسبورگ,نیوزلند,با توجه به متن، مسابقه بعدی تیم اسپرینگ باکس در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود. این مسابقه در مقابل تیم ملی راگبی استرالیا خواهد بود. بنابراین، پاسخ صحیح، گزینه 3، ژوهانسبورگ است. ,هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,"['اسپرینگ باکس', 'آفریقای جنوبی', 'راگبی', 'ورزشگاه الیس پارک', 'ژوهانسبورگ', 'استرالیا']"
به این پدیده pH شیمیایی گفته می‌شود. می‌توانید یک شاخص با استفاده از آب کلم قرمز درست کنید. آب کلم بسته میزان اسیدی یا بازی (قلیایی) بودن ماده شیمیایی تغییر رنگ می‌دهد. سطح pH توسط مقدار یون‌های هیدروژن (H در pH) در ماده شیمیایی تست‌شده نشان داده می‌شود. یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است (زیرا اتم‌های هیدروژن فقط از یک پروتون و یک الکترون تشکیل می‌شوند).,چه چیزی از یون‌های هیدروژن حذف شد؟,4,4,پروتون,pH,قلیا,الکترون‌ها,در متن به صراحت بیان شده است که یون‌های هیدروژن، پروتون‌هایی هستند که الکترون از آنها گرفته شده است. این توضیح نشان می‌دهد که الکترون‌ها از یون‌های هیدروژن حذف شده‌اند. بنابراین، پاسخ صحیح گزینه 4 است. ,یون‌های هیدروژن پروتون‌هایی هستند که الکترون از آنها گرفته شده است.,"['یون\u200cهای هیدروژن', 'پروتون', 'الکترون', 'pH']"
«هسپرونیکوس الیزابتا» گونه‌ای از تیره «دونده‌خزندگان» است و پسرعموی ولاسیراپتور است. اعتقاد می‌رفت این پرنده شکاری تمام‌پر و خون‌گرم صاف روی دوپایش راه می‌رفته و پنجه‌هایی شبیه ولاسیراپتور داشته است. پنجه دومش بزرگتر بود که سبب نام‌گذاری «Hesperonychus» به معنی «پنجه غربی» شد.,معنای «Hesperonychus» (هسپرونیکوس) از کدام ویژگی فیزیکی این گونه گرفته شده است؟,1,1,پنجه(ها),بدن پوشیده از پر,پاها,منقار,در متن به صراحت آمده است که نام «هسپرونیکوس» از «پنجه غربی» گرفته شده است. این نام‌گذاری به دلیل پنجه‌های این گونه است که یکی از آنها بزرگتر بوده است. بنابراین، ویژگی فیزیکی مورد نظر، پنجه‌های این گونه است. ,اعتقاد می‌رفت این پرنده شکاری تمام‌پر و خون‌گرم صاف روی دوپایش راه می‌رفته و پنجه‌هایی شبیه ولاسیراپتور داشته است. پنجه دومش بزرگتر بود که سبب نام‌گذاری «Hesperonychus» به معنی «پنجه غربی» شد.,"['پنجه', 'هسپرونیکوس', 'نام\u200cگذاری', 'پنجه غربی']"
یک پلیس سابق فیلیپینی با ربودن یک اتوبوس در مانیل، پایتخت فیلیپین، گردشگران هنگ کنگی را به گروگان گرفته است. رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد. چندین تن از گروگان‌ها نجات یافته‌اند و تاکنون مرگ حداقل شش نفر تایید شده است. شش گروگان شامل كودكان و سالمندان، همینطور عكاسان فیلیپینی، در ابتدا آزاد شدند. عکاس‌ها سپس جای یک زن سالخورده که نیاز به دستشویی داشت را گرفتند. مندوزا با گلوله از پای درآورده شد.,با توجه به متن، رولاندو مندوزا چه کسی را گروگان نگرفت؟,2,4,گردشگران,پلیس,کودکان,عکاسان,در متن به صراحت گفته شده است که مندوزا گردشگران را به گروگان گرفته است، اما در ادامه توضیح داده می‌شود که عکاسان در ابتدا آزاد شدند و حتی به عنوان گروگان جایگزین نیز حضور داشتند. بنابراین، مندوزا عکاسان را به عنوان گروگان نگرفت. همچنین، هیچ اشاره‌ای به گروگان گرفتن کودکان یا پلیس‌ها نشده است. بنابراین، گزینه 4 (عکاسان) صحیح است.,عکاسان در ابتدا آزاد شدند و حتی به عنوان گروگان جایگزین نیز حضور داشتند.,"['گروگان', 'گردشگران', 'عکاسان', 'کودکان', 'پلیس']"
هدف اصلی علم کشف نحوه کار جهان از طریق روش علمی است. این روش در واقع اکثر تحقیقات علمی را هدایت می‌کند. با این‌حال این مورد به تنهایی نیست، آزمایش و یک تجربه است که برای از بین بردن یک یا چند فرضیه احتمالی، پرسیدن سؤال‌ها و ایجاد مشاهدات و نیز هدایت تحقیقات علمی لازم است.,با توجه به این متن، چه چیزی به هدایت تحقیقات علمی کمک نمی‌کند؟,1,1,روش علمی به تنهایی,انجام مشاهدات,حذف فرضیه‌های ممکن,انجام آزمایشات,در این متن به روشنی بیان شده است که روش علمی به تنهایی برای هدایت تحقیقات علمی کافی نیست. اگرچه روش علمی اکثر تحقیقات را هدایت می‌کند، اما این متن تاکید دارد که آزمایش، تجربه، پرسیدن سوالات، انجام مشاهدات و حذف فرضیه‌های احتمالی نیز در این فرایند نقش دارند. بنابراین، گزینه 1 (روش علمی به تنهایی) صحیح است، زیرا متن به صراحت بیان می‌کند که روش علمی به تنهایی برای هدایت تحقیقات کافی نیست و سایر مراحل نیز ضروری هستند. ,با این‌حال این مورد به تنهایی نیست، آزمایش و یک تجربه است که برای از بین بردن یک یا چند فرضیه احتمالی، پرسیدن سؤال‌ها و ایجاد مشاهدات و نیز هدایت تحقیقات علمی لازم است.,"['روش علمی', 'تحقیقات علمی', 'آزمایش', 'مشاهدات', 'فرضیه', 'تجربه']"
وقتی با کسی تماس می‌گیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده می‌کنید. ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند. این ماهواره توسط یک موشک به فضا فرستاده شد. دانشمندان از تلسکوپ‌ها در فضا استفاده می‌کنند زیرا جو زمین برخی از نورها و تصاویر را تحریف می‌کند. برای قرار دادن یک ماهواره یا تلسکوپ در فضا نیاز به موشکی بزرگ با ارتفاع بیش از 100 پا می‌باشد.,کدام مورد نشانگر انعکاس تماس‌ از راه دور به پایین در زمین است؟,2,2,تلسکوپ‌ها,ماهواره‌ها ,چراغ‌ها,موشک‌ها,در متن ارائه شده، به وضوح بیان شده است که ماهواره‌ها مسئولیت دریافت و انعکاس تماس‌های دوربرد را بر عهده دارند. این ماهواره‌ها تماس‌ها را به‌صورت آنی به پایین، یعنی به سمت زمین، منعکس می‌کنند. این فرآیند به دلیل قرارگیری ماهواره‌ها در فضا و دوری از جو زمین، که می‌تواند باعث تحریف سیگنال‌ها شود، امکان‌پذیر است. بنابراین، ماهواره‌ها نقش حیاتی در برقراری ارتباطات از راه دور ایفا می‌کنند. ,ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند.,"['ماهواره', 'انعکاس تماس', 'فضا', 'ارتباطات از راه دور', 'جو زمین']"
اکثر معابد یک جشنواره سالانه دارند که از آخر ماه نوامبر تا وسط ماه مه ادامه دارد و طبق تقویم سالانه هر معبد متفاوت است. اکثر جشنواره‌های معبد به‌عنوان بخشی از جشن سالگرد معبد یا زادروز خدای حاکم یا هر رویداد مهم مرتبط با معبد برگزار می‌شود. جشنواره‌های معبد کرالا با داشتن موکب‌های منظم از فیل‌های مزین، ارکستر معبد و دیگر مراسم، رویدادی بسیار دیدنی هستند.,کدام رویداد مرتبط با جشن گرفتن جشنواره‌های معبد نیست؟,1,1,تولد فیل,سالگرد معبد,زادروز خدای حاکم,رویدادهای مهم مربوط به معبد,در متن ارائه شده، به طور مشخص به جشنواره‌های معبد در کرالا و ویژگی‌های آن اشاره شده است. جشنواره‌های معبد به طور معمول به مناسبت‌های خاصی برگزار می‌شوند که شامل جشن سالگرد معبد، زادروز خدای حاکم، یا رویدادهای مهم مرتبط با معبد است. هیچ اشاره‌ای به تولد فیل به عنوان بخشی از این جشنواره‌ها نشده است. بنابراین، تولد فیل ارتباطی با جشن گرفتن جشنواره‌های معبد ندارد.,جشنواره‌های معبد به طور معمول به مناسبت‌های خاصی برگزار می‌شوند که شامل جشن سالگرد معبد، زادروز خدای حاکم، یا رویدادهای مهم مرتبط با معبد است.,"['جشنواره\u200cهای معبد', 'سالگرد معبد', 'زادروز خدای حاکم', 'رویدادهای مهم معبد']"
آنفولانزای مرغی، یا به‌اصطلاح رسمی‌تر آن آنفولانزای پرندگان، می‌تواند سبب ابتلای پرندگان و نیز پستانداران شود. تاکنون کمتر از هزار مورد در انسان گزارش شده است، اما برخی از آنها کشنده بوده است. بیشتر آنها افرادی را درگیر کرده‌اند که با مرغداری کار می‌کنند، اما خطراتی برای پرنده‌نگری نیز وجود دارد.,مطابق با متن، کدام‌یک از عبارت‌های زیر آنفولانزای پرندگان را به‌طور دقیق توصیف می‌کند؟,3,3,فقط کارکنان مرغداری به آنفولانزا مبتلا شده‌اند,موارد بیشتری در انسان‌ها نسبت به پرنده‌ها گزارش شده است,تماشاکنندگان پرندگان در خطر مبتلا شدن هستند,تمام موارد گزارش شده در انسان‌ها مرگبار بوده است,در متن ذکر شده است که آنفولانزای پرندگان می‌تواند هم پرندگان و هم پستانداران را مبتلا کند. اگرچه بیشتر موارد گزارش شده مربوط به کارکنان مرغداری است، اما به صراحت به این نکته اشاره شده که «خطراتی برای پرنده‌نگری نیز وجود دارد». این جمله نشان می‌دهد که تماشاکنندگان پرندگان نیز در معرض خطر ابتلا به این بیماری هستند. بنابراین، گزینه 3 به‌طور دقیق‌تر آنفولانزای پرندگان را توصیف می‌کند. ,اما به صراحت به این نکته اشاره شده که «خطراتی برای پرنده‌نگری نیز وجود دارد».,"['پرندگان', 'پستانداران', 'مرغداری', 'پرنده\u200cنگری']"
در طی سه دهه آخر، علیرغم اینکه چین رسماً دولت کمونیستی مانده است، نوعی اقتصاد بازار را توسعه داده است. اولین اصلاحات اقتصادی تحت رهبری «دنگ شیائوپینگ» صورت گرفت. از آن زمان به بعد، اقتصاد چین 90 برابر شده است. سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد و ایالات متحده که بزرگترین بازار این صنعت را دارد را مغلوب کرد. تولید ناخالص داخلی چین توانست طی دو دهه از ایالات متحده بالاتر شود.,با توجه به متن، کدام یک از عبارات زیر به درستی نشانگر اقتصاد چین نیست؟,4,4,اقتصاد چین از زمان انجام اصلاحات به طور تصاعدی رشد کرده است,چین بازار بزرگتری برای صادرات خودرو نسبت به ایالات متحده دارد,چین در نهایت توانست GDP بزرگتری نسبت به ایالات متحده داشته باشد,چین هرگز بیشتر از آلمان خودرو صادر نکرده است,در متن ذکر شده است که «سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد». این جمله به وضوح نشان می‌دهد که چین در سال‌های قبل، هرگز بیشتر از آلمان خودرو صادر نکرده بود. بنابراین، گزینه 4 به درستی نشانگر اقتصاد چین نیست. در مقابل، گزینه‌های 1، 2 و 3 با اطلاعات متن مطابقت دارند. برای مثال، رشد تصاعدی اقتصاد چین از زمان اصلاحات، در جمله «از آن زمان به بعد، اقتصاد چین 90 برابر شده است» نشان داده شده است. همچنین، اینکه چین بازار بزرگتری برای صادرات خودرو نسبت به ایالات متحده دارد، در جمله «ایالات متحده که بزرگترین بازار این صنعت را دارد را مغلوب کرد» به طور ضمنی بیان شده است. و در نهایت، اینکه چین توانست GDP بزرگتری نسبت به ایالات متحده داشته باشد، در جمله «تولید ناخالص داخلی چین توانست طی دو دهه از ایالات متحده بالاتر شود» به وضوح ذکر شده است.,سال گذشته چین برای اولین بار خودروهای بیشتری از آلمان صادر کرد,"['اصلاحات اقتصادی', 'رشد اقتصاد', 'صادرات خودرو', 'GDP', 'دنگ شیائوپینگ']"
سپاه مهندسی ارتش ایالات متحده تخمین زده که 6 اینچ باران می‌تواند از آب‌بندهای از قبل‌آسیب‌دیده نفوذ کند. بخش «ناینت وارد» (Ninth Ward) که در زمان توفان کاترینا شاهد سیل به بلندی 20 فوت بود اکنون با سر ریز شدن آببند اطراف تا کمر در آب فرو رفته است. در قسمتی به عرض 100 فوت، آب در حال ریختن به داخل خاکریز است.,در طول طوفان کاترینا، در Ninth Ward چه اتفاقی رخ داد؟,3,3,آب سیل 100 فوت عرض داشت,آب با ارتفاع تا کمر از روی آب‌بند گذشت,آب‌های سیل 20 فوت ارتفاع داشت,6 اینچ بارندگی از آب‌بند آسیب‌دیده نفوذ کرد,با توجه به متن، در بخش Ninth Ward در زمان طوفان کاترینا، سیل به بلندی 20 فوت رخ داده است. این جمله به طور مستقیم اشاره دارد که در این منطقه، آب سیل به ارتفاع 20 فوت رسیده بود. بنابراین، گزینه 3 صحیح است. ,سیل به بلندی 20 فوت بود,"['ناینت وارد', 'طوفان کاترینا', 'سیل', 'ارتفاع', 'آب\u200cبند']"
پس از وقوع تصادف، «گیبسون» به بیمارستان منتقل شد ولی کمی پس از آن درگذشت. راننده کامیونی که 64 سال سن دارد در تصادف زخمی نشد. خود خودرو تقریباً‌ ساعت 1200 گرینویچ همان روز از صحنه تصادف برده شد. شخصی که در یک گاراژ نزدیک محل وقوع تصادف کار می‌کرد گفت: «کودکان منتظر بودند که از جاده عبور کنند و همگی جیغ می‌زدند و گریه می‌کردند.» آنها همگی از محلی که حادثه رخ داده بود با دویدن به عقب رفتند.,چه کسی در تصادف صدمه دید؟,1,1,«گیبسون»,کارگر گاراژ,کودکان,راننده کامیون,در متن اشاره شده است که «گیبسون» پس از تصادف به بیمارستان منتقل شد و کمی بعد درگذشت. این نشان می‌دهد که او در تصادف صدمه دیده است. راننده کامیون و کارگر گاراژ هر دو بدون صدمه بوده‌اند و کودکان نیز به نظر می‌رسد که فقط از نظر روانی تحت تاثیر قرار گرفته‌اند و صدمه فیزیکی ندیده‌اند. بنابراین، «گیبسون» تنها فردی است که در تصادف صدمه دیده است.,«گیبسون» به بیمارستان منتقل شد ولی کمی پس از آن درگذشت.,"['تصادف', 'صدمه', 'بیمارستان', 'درگذشت', 'زخمی', 'گریه', 'جیغ']"
الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,2,2,درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,در متن ذکر شده است که الگوهای فکری همگرا بر روی سرعت، منطق و دقت تمرکز دارند. همچنین، شناسایی حقایق و جمع‌آوری اطلاعات از دیگر جنبه‌های مورد توجه این نوع تفکر است. اما هیچ اشاره‌ای به «وقت گذاشتن» به عنوان تمرکز این الگوها نشده است. در واقع، این نوع تفکر بر پایه سرعت عمل و کارایی بالا بنا شده است، که نشان می‌دهد وقت گذاشتن ممکن است در اولویت نباشد. بنابراین، گزینه 2 صحیح است. ,تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات.,"['سرعت', 'منطق', 'دقت', 'شناسایی حقایق', 'جمع آوری اطلاعات', 'فقط یک پاسخ صحیح']"
شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟,2,2,کپی کردن دیسک,کنترل بازار,جلوگیری از نشر غیرمجاز,کپی‌برداری غیرقانونی,در این متن، به صراحت بیان شده است که هدف واقعی از استفاده از کدهای منطقه‌ای، «کنترل بیشتر شرکت‌های رسانه‌ای بر بازارهایشان» است. این استراتژی به شرکت‌ها اجازه می‌دهد تا بر توزیع و فروش محصولات خود نظارت بیشتری داشته باشند و در نتیجه، درآمد بیشتری کسب کنند. بنابراین، کدهای منطقه‌ای در واقع به کنترل بازار کمک می‌کنند. این استراتژی ممکن است به شرکت‌ها در مدیریت بهتر فروش و توزیع محصولاتشان کمک کند، اما تأثیری بر جلوگیری از کپی غیرقانونی ندارد. ,هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,"['هدف واقعی', 'کنترل بیشتر', 'بازار', 'پول']"
سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟,2,2,اگر مسافر از ترس خود خجالت‌زده باشد,اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد,اگر مسافر مخالف هر نوع وسیله نقلیه باشد,اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد,در متن ارائه شده، به وضوح اشاره شده است که دانستن نحوه کارکرد هواپیما می‌تواند به افرادی که از ناشناخته‌ها و عدم کنترل در حین پرواز می‌ترسند، کمک کند. این ترس از ناشناخته‌ها، به طور خاص مورد اشاره قرار گرفته و توضیح داده شده است که چگونه آگاهی از فرآیندهای پرواز می‌تواند این ترس را کاهش دهد. بنابراین، گزینه 2 به طور مستقیم با این مفهوم ارتباط دارد. این ایده که ترس از ناشناخته‌ها می‌تواند با درک بهتر فرآیندهای پرواز کاهش یابد، کلید اصلی در این متن است. این استدلال نشان می‌دهد که دانستن جزئیات بیشتر می‌تواند به مسافران مضطرب کمک کند تا احساس آرامش بیشتری داشته باشند. ,این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,"['ترس', 'ناشناخته\u200cها', 'عدم کنترل', 'فهم چگونگی کار کردن هواپیما', 'اتفاقات پرواز']"
