Unnamed: 0,question_id,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,split,choice_1,choice_2,choice_3,choice_4,original_answer,answer_humanity,has_solution,has_lecture,has_hint,Translated_Question,Translated_Option_1,Translated_Option_2,Translated_Option_3,Translated_Option_4,Translated_Hint,Translated_Solution
15502,4227,"Which change best matches the sentence?
Mud is left behind along the sides of a river.","['erosion', 'drought', 'deposition']",2,nan,closed choice,grade3,natural science,earth-science,Earth events,Classify changes to Earth's surface II,nan,nan,train,erosion,drought,deposition,nan,deposition,3,0,0,0,"کدام تغییر با جمله زیر بهترین تطابق را دارد؟
لجن در کناره‌های رودخانه باقی می‌ماند.",1: [،],2: ['],3: [e],4: [r],,
7507,1987,"Which change best matches the sentence?
Earth is hit by a rock from outer space.","['deposition', 'landslide', 'meteorite crash']",2,nan,closed choice,grade3,natural science,earth-science,Earth events,Classify changes to Earth's surface II,nan,nan,test,deposition,landslide,meteorite crash,nan,meteorite crash,3,0,0,0,کدام تغییر با جمله‌ی زیر بیشترین تطابق را دارد؟ زمین توسط سنگی از فضای خارج مورد اصابت قرار می‌گیرد.,1: [،],2: ['],3: [د],4: [ه],,
3256,861,"Using only these supplies, which question can Paul investigate with an experiment?","['Do watercolor paintings dry faster when placed next to a fan?', 'Do watercolor paintings dry faster when they are placed inside or outside?', 'Does a large watercolor painting or a small watercolor painting dry faster?']",1,"Paul is painting watercolor pictures with his friend. An hour after they have finished, Paul notices one painting is dry but the other is not. He wonders what factors affect how quickly watercolor paintings dry. So, he decides to design an experiment. He has the following supplies available:
two freshly painted watercolor pictures of the same size
his dining room table
a picnic table in his backyard
a heater",closed choice,grade8,natural science,science-and-engineering-practices,Designing experiments,Identify questions that can be investigated with a set of materials,"Experiments can be designed to answer specific questions. When designing an experiment, you must identify the supplies that are necessary to answer your question. In order to do this, you need to figure out what will be tested and what will be measured during the experiment.
Imagine that you are wondering if plants grow to different heights when planted in different types of soil. How might you decide what supplies are necessary to conduct this experiment?
First, you need to identify the part of the experiment that will be tested, which is the independent variable. This is usually the part of the experiment that is different or changed. In this case, you would like to know how plants grow in different types of soil. So, you must have different types of soil available.
Next, you need to identify the part of the experiment that will be measured or observed, which is the dependent variable. In this experiment, you would like to know if some plants grow taller than others. So, you must be able to compare the plants' heights. To do this, you can observe which plants are taller by looking at them, or you can measure their exact heights with a meterstick.
So, if you have different types of soil and can observe or measure the heights of your plants, then you have the supplies you need to investigate your question with an experiment!",nan,train,Do watercolor paintings dry faster when placed next to a fan?,Do watercolor paintings dry faster when they are placed inside or outside?,Does a large watercolor painting or a small watercolor painting dry faster?,nan,Do watercolor paintings dry faster when they are placed inside or outside?,2,0,1,1,با استفاده از این وسایل، پل می‌تواند با آزمایش کدام سؤال را بررسی کند؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],"پل با دوستش در حال نقاشی آبرنگ است. یک ساعت پس از اتمام کار، پل متوجه می‌شود که یک نقاشی خشک شده است، اما نقاشی دیگر نه. او در مورد عواملی که بر سرعت خشک شدن نقاشی‌های آبرنگ تأثیر می‌گذارند، کنجکاو است. بنابراین، او تصمیم می‌گیرد که یک آزمایش طراحی کند. او وسایل زیر را در اختیار دارد:
دو نقاشی آبرنگ تازه نقاشی شده با اندازه یکسان
میز ناهارخوری او
یک میز پیک نیک در حیاط خلوت او
یک بخاری",[راه حل]
11137,3045,"Using only these supplies, which question can Mabel investigate with an experiment?","['Does the basketball bounce higher on gravel or on grass?', 'Does the basketball bounce higher on a lawn or on a dirt path?', 'Do larger basketballs bounce higher than smaller basketballs on a brick patio?']",0,"Mabel gets a basketball for her birthday and dribbles it around her neighborhood. She notices that sometimes the ball bounces higher than other times. She wonders what factors affect how high her ball bounces. So, she decides to design an experiment. She has the following supplies available:
one basketball
access to a brick patio
access to a grassy lawn
access to a gravel driveway
a meterstick",closed choice,grade6,natural science,science-and-engineering-practices,Designing experiments,Identify questions that can be investigated with a set of materials,"Experiments can be designed to answer specific questions. When designing an experiment, you must identify the supplies that are necessary to answer your question. In order to do this, you need to figure out what will be tested and what will be measured during the experiment.
Imagine that you are wondering if plants grow to different heights when planted in different types of soil. How might you decide what supplies are necessary to conduct this experiment?
First, you need to identify the part of the experiment that will be tested, which is the independent variable. This is usually the part of the experiment that is different or changed. In this case, you would like to know how plants grow in different types of soil. So, you must have different types of soil available.
Next, you need to identify the part of the experiment that will be measured or observed, which is the dependent variable. In this experiment, you would like to know if some plants grow taller than others. So, you must be able to compare the plants' heights. To do this, you can observe which plants are taller by looking at them, or you can measure their exact heights with a meterstick.
So, if you have different types of soil and can observe or measure the heights of your plants, then you have the supplies you need to investigate your question with an experiment!",nan,test,Does the basketball bounce higher on gravel or on grass?,Does the basketball bounce higher on a lawn or on a dirt path?,Do larger basketballs bounce higher than smaller basketballs on a brick patio?,nan,Does the basketball bounce higher on gravel or on grass?,1,0,1,1,با استفاده از این وسایل، مبل چه سؤالی را می‌تواند با یک آزمایش بررسی کند؟,1: [گزینه 1 - با توجه به متن اصلی، گزینه ها ارائه نشده است],2: [گزینه 2 - با توجه به متن اصلی، گزینه ها ارائه نشده است],3: [گزینه 3 - با توجه به متن اصلی، گزینه ها ارائه نشده است],4: [گزینه 4 - با توجه به متن اصلی، گزینه ها ارائه نشده است],مبل برای تولدش یک توپ بسکتبال می‌گیرد و آن را در محله‌اش دریبل می‌کند. او متوجه می‌شود که گاهی اوقات توپ بالاتر از دفعات دیگر می‌پرد. او تعجب می‌کند که چه عواملی بر ارتفاع پرش توپ او تأثیر می‌گذارند. بنابراین، او تصمیم می‌گیرد یک آزمایش طراحی کند. او وسایل زیر را در اختیار دارد: یک توپ بسکتبال، دسترسی به یک پاسیو آجری، دسترسی به یک چمنزار علفی، دسترسی به یک جاده خاکی شنی، یک متر.,"[با توجه به متن اصلی، پاسخ ارائه نشده است.  باید بر اساس وسایل موجود و متن، پاسخی که Mabel می تواند با آزمایش به آن برسد، نوشته شود.  مثلاً: ""چه نوع سطحی باعث می‌شود توپ بسکتبال بالاتر بپرد؟""]"
9274,2517,When is Thanksgiving celebrated in the United States?,"['on January 12', 'on the second Sunday of September', 'on the fourth Thursday of November', 'on December 5']",2,nan,closed choice,grade2,social science,civics,Cultural celebrations,Thanksgiving,nan,"This is a symbol of the harvest. It shows fruits and vegetables that are picked in the fall.
In the United States, Thanksgiving is celebrated on the fourth Thursday of November.
In the past, Thanksgiving celebrated the harvest. It celebrated the food that was picked in the fall. So, Thanksgiving is celebrated in the fall, too.",train,on January 12,on the second Sunday of September,on the fourth Thursday of November,on December 5,on the fourth Thursday of November,3,1,0,0,روز شکرگزاری در ایالات متحده آمریکا چه زمانی جشن گرفته می‌شود؟,1: [Option 1 -  This section is irrelevant to the translation and should be removed],2: [Option 2 -  This section is irrelevant to the translation and should be removed],3: [Option 3 -  This section is irrelevant to the translation and should be removed],4: [Option 4 -  This section is irrelevant to the translation and should be removed],,"این نماد برداشت محصول است. میوه‌ها و سبزیجاتی را نشان می‌دهد که در پاییز چیده می‌شوند.
در ایالات متحده آمریکا، روز شکرگزاری در چهارمین پنجشنبه ماه نوامبر جشن گرفته می‌شود.
در گذشته، روز شکرگزاری برداشت محصول را جشن می‌گرفت. غذای چیده شده در پاییز را جشن می‌گرفت. بنابراین، روز شکرگزاری نیز در پاییز جشن گرفته می‌شود."
15530,4231,Which sentence states a fact?,"['Only a fool would travel all the way to China to see rocks.', 'The Stone Forest in southern China is a cluster of ancient limestone pillars.']",1,nan,closed choice,grade5,social science,civics,Social studies skills,Identify facts and opinions,"A fact is something that can be proved to be true. Facts can be proved by observing, measuring, or studying information.
The flag of the United States has 13 stripes.
This is a fact. It can be proved by looking at the flag and counting the number of stripes.
An opinion is something that a person believes, thinks, or feels. An opinion cannot be proved true.
The flag of the United States is easy to draw.
This is an opinion. People may have different opinions about what makes a flag ""easy"" to draw.","The second sentence states a fact.
The Stone Forest in southern China is a cluster of ancient limestone pillars.
It can be proved by reading a travel guide about China.
The first sentence states an opinion.
Only a fool would travel all the way to China to see rocks.
Only a fool shows what a person believes, thinks, or feels. Another person might have a different opinion about what is foolish.",test,Only a fool would travel all the way to China to see rocks.,The Stone Forest in southern China is a cluster of ancient limestone pillars.,nan,nan,The Stone Forest in southern China is a cluster of ancient limestone pillars.,2,1,1,0,کدام جمله، یک واقعیت را بیان می‌کند؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],[راهنمایی],جمله دوم یک واقعیت را بیان می‌کند.
19438,5285,"Complete the sentence.
Sitting Bull was an important () leader in the 1800s.","['Mexican American', 'Native American', 'Japanese American', 'German American']",1,nan,closed choice,grade2,social science,us-history,Historical figures,Sitting Bull,nan,"Sitting Bull was an important Native American leader in the 1800 s. He was part of the Lakota tribe. The Lakota tribe is part of a larger group of Native Americans called the Sioux.
When was Sitting Bull born?
Historians don't know for sure. The Lakota didn't keep many written records. Sitting Bull guessed he was born in 1831.",train,Mexican American,Native American,Japanese American,German American,Native American,2,1,0,0,جمله را کامل کنید. نشسته گاو یک رهبر مهم () در دهه ۱۸۰۰ بود.,1: [،],2: [،],3: [م],4: [ه],,نشسته گاو یک رهبر مهم بومی آمریکایی در دهه ۱۸۰۰ بود. او بخشی از قبیله لاکوتا بود. قبیله لاکوتا بخشی از گروه بزرگتری از بومیان آمریکایی به نام سو است. نشسته گاو چه زمانی متولد شد؟ مورخان مطمئن نیستند. لاکوتاها اسناد کتبی زیادی نگه نمی داشتند. نشسته گاو حدس زد که در سال ۱۸۳۱ متولد شده است.
12491,3423,"Complete the sentence.
John Deere was a famous ().","['inventor', 'pilot', 'astronaut', 'writer']",0,nan,closed choice,grade2,social science,us-history,Historical figures,John Deere,nan,"John Deere was a famous American inventor. An inventor is someone who comes up with items or ideas that have never been made before.
John Deere was born in 1804.",train,inventor,pilot,astronaut,writer,inventor,1,1,0,0,جمله را کامل کنید. جان دیر یک ( ) مشهور بود.,1: [،],2: [،],3: [i],4: [n],,جان دیر یک مخترع آمریکایی مشهور بود. مخترع کسی است که اشیاء یا ایده‌هایی را ارائه می‌دهد که قبلاً هرگز ساخته نشده‌اند. جان دیر در سال ۱۸۰۴ به دنیا آمد.
19806,5372,Which of the following is an example of technologies?,"['a laptop computer', 'a hurricane that damages homes']",0,"People in early China invented many new types of technologies. Today, the word ""technology"" often refers to electronic objects such as computers and cell phones. But technology can be any device or object that helps people solve problems or complete tasks more easily.",closed choice,grade7,social science,world-history,Early China,Science and technology in early China,nan,nan,train,a laptop computer,a hurricane that damages homes,nan,nan,a laptop computer,1,0,0,1,کدام مورد زیر مثالی از فناوری است؟,1: [ ],2: [ '],3: [ a ],4: [  ],"مردم در چین باستان بسیاری از انواع جدید فناوری را اختراع کردند. امروزه، کلمه ""فناوری"" اغلب به اشیاء الکترونیکی مانند کامپیوتر و تلفن همراه اشاره دارد. اما فناوری می‌تواند هر وسیله یا شیئی باشد که به مردم کمک می‌کند تا مشکلات را حل کنند یا کارها را آسان‌تر انجام دهند.",ندارد
19672,5335,"Ancient China was ruled by dynasties. A dynasty is a line of rulers from the same family, which i often called the royal family. Starting in 1046 BCE, rulers from the Zhou (pronounced JO) dynasty claimed to have something called the Mandate of Heaven. A mandate is the authority to act in a certain way. What did it mean to have the Mandate of Heaven?","['Heaven made the ruler rich.', 'Heaven gave the ruler the authority to rule.', 'Heaven required the ruler to pray every day.', 'Heaven allowed the ruler to act however he wanted.']",1,nan,closed choice,grade7,social science,world-history,Early China,Early Chinese thought,nan,"When a person has a mandate, it means that he or she is allowed to act in a certain way. In ancient China, the Mandate of Heaven meant that a ruler had special authority to rule, and that authority came from heaven.
The Mandate of Heaven gave a ruler permission to act in a certain way, so the ruler was not allowed to act however he wanted. The Mandate of Heaven did not force the ruler to pray or make the ruler rich.
What did ""heaven"" mean in ancient China?
People in ancient China did not think heaven was a place where people went after they died. Instead, heaven was a general force, like the universe or cosmos.",train,Heaven made the ruler rich.,Heaven gave the ruler the authority to rule.,Heaven required the ruler to pray every day.,Heaven allowed the ruler to act however he wanted.,Heaven gave the ruler the authority to rule.,2,1,0,0,"چین باستان توسط سلسله‌ها حکومت می‌شد. سلسله به خطی از فرمانروایان از یک خانواده، که اغلب خانواده سلطنتی نامیده می‌شد، گفته می‌شود. از سال ۱۰۴۶ قبل از میلاد، فرمانروایان سلسله ژو (با تلفظ جو) ادعا می‌کردند که چیزی به نام ""فرمان آسمان"" دارند. فرمان به اختیار عمل کردن به شیوه‌ای خاص گفته می‌شود.  داشتن ""فرمان آسمان"" چه معنایی داشت؟","<!-- Options are not provided in the original question, so they cannot be translated.  The provided ""options"" section appears to be a scrambled set of characters which does not represent actual answer options -->",,,,,"وقتی کسی دارای فرمانی است، به این معنی است که به او اجازه داده شده است به شیوه‌ای خاص عمل کند. در چین باستان، ""فرمان آسمان"" به این معنی بود که یک فرمانروا اختیار ویژه‌ای برای حکومت داشت و این اختیار از آسمان می‌آمد.

فرمان آسمان به فرمانروا اجازه می‌داد به شیوه‌ای خاص عمل کند، بنابراین فرمانروا مجاز نبود هر طور که می‌خواست عمل کند. فرمان آسمان فرمانروا را مجبور به دعا کردن یا ثروتمند شدن نمی‌کرد.

""آسمان"" در چین باستان چه معنایی داشت؟

مردم در چین باستان فکر نمی‌کردند که آسمان جایی است که مردم پس از مرگ به آنجا می‌روند. در عوض، آسمان یک نیروی کلی بود، مانند جهان یا کیهان."
19801,5371,Which kind of place has more restaurants?,"['a rural area', 'an urban area']",1,nan,closed choice,grade2,social science,geography,Geography,"Compare urban, suburban, and rural areas","People around the world live in three main kinds of places: urban areas, suburban areas, and rural areas.
An urban area is a city. It has many people and businesses. The buildings are close to each other. The buildings are often tall and have many floors. Since there are so many people, traffic is usually bad. People will walk or take the bus, train, or subway to avoid traffic.
A suburban area, or suburb, is near a city. It is quieter and less crowded than an urban area. People usually live in houses with yards. Most people drive to get places.
A rural area is less crowded than both urban and suburban areas. Houses are much more spread out. People usually have to drive to get places. People in rural areas often live on farms or ranches.
Some places, like small towns, don't really fit into any of the types. A small town does not have as many people as an urban area, but it has more people than a rural area. It is not near a city, so it is not called a suburb.",Urban areas have more restaurants. There are more people and businesses in urban areas than in rural areas.,train,a rural area,an urban area,nan,nan,an urban area,2,1,1,0,کدام نوع مکان رستوران‌های بیشتری دارد؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],[راهنمایی],مناطق شهری رستوران‌های بیشتری دارند. در مناطق شهری نسبت به مناطق روستایی، جمعیت و مشاغل بیشتری وجود دارد.
18816,5094,"In which place are cows, horses, and other livestock more common?","['a rural area', 'a suburban area']",0,nan,closed choice,grade2,social science,geography,Geography,"Compare urban, suburban, and rural areas","People around the world live in three main kinds of places: urban areas, suburban areas, and rural areas.
An urban area is a city. It has many people and businesses. The buildings are close to each other. The buildings are often tall and have many floors. Since there are so many people, traffic is usually bad. People will walk or take the bus, train, or subway to avoid traffic.
A suburban area, or suburb, is near a city. It is quieter and less crowded than an urban area. People usually live in houses with yards. Most people drive to get places.
A rural area is less crowded than both urban and suburban areas. Houses are much more spread out. People usually have to drive to get places. People in rural areas often live on farms or ranches.
Some places, like small towns, don't really fit into any of the types. A small town does not have as many people as an urban area, but it has more people than a rural area. It is not near a city, so it is not called a suburb.","Cows, horses, and other livestock are more common in rural areas. They need a lot of open space. Rural areas have a lot of open space. There aren't many buildings or people.",test,a rural area,a suburban area,nan,nan,a rural area,1,1,1,0,گاوها، اسب‌ها و سایر دام‌ها در کدام مکان بیشتر دیده می‌شوند؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],[راهنمایی],گاوها، اسب‌ها و سایر دام‌ها در مناطق روستایی بیشتر دیده می‌شوند. آن‌ها به فضای باز زیادی نیاز دارند. مناطق روستایی فضای باز زیادی دارند. ساختمان‌ها یا افراد زیادی در آنجا وجود ندارد.
14982,4093,Hanukkah is a holiday in which religion?,"['Islam', 'Judaism', 'Hinduism', 'Christianity']",1,nan,closed choice,grade3,social science,culture,Cultural celebrations,Hanukkah,nan,Hanukkah is a holiday in the religion of Judaism. Followers of Judaism are known as Jews.,train,Islam,Judaism,Hinduism,Christianity,Judaism,2,1,0,0,حنوکا جشن کدام دین است؟,1: [گزینه 1 -  اینجا باید گزینه‌های واقعی باشند، نه حروف بی‌معنی],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],,حنوکا جشنی در دین یهودیت است. پیروان یهودیت، یهودی نامیده می‌شوند.
2957,794,Christmas is a holiday in which religion?,"['Islam', 'Judaism', 'Hinduism', 'Christianity']",3,nan,closed choice,grade2,social science,culture,Cultural celebrations,Christmas,nan,"Christmas is a holiday in Christianity.
People who believe in Christianity are called Christians. There are Christians all over the world. Christmas is celebrated in many different countries.",train,Islam,Judaism,Hinduism,Christianity,Christianity,4,1,0,0,کریسمس جشن کدام دین است؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],,کریسمس جشنی در مسیحیت است.  افرادی که به مسیحیت باور دارند، مسیحی نامیده می‌شوند. در سراسر جهان مسیحی وجود دارد. کریسمس در بسیاری از کشورها جشن گرفته می‌شود.
641,182,Why might a person have a limb amputated?,"['After an accident, the limb is too badly injured to heal.', 'The limb has healed from a serious disease.']",0,"If a person's body is damaged, the body can often heal itself. But sometimes, disease or injury can cause damage that is too severe to heal. When a limb is too severely damaged to heal, it may need to be amputated, or removed.
For example, a doctor can treat an infected limb with medicine. But if the infection does not go away, it can spread to the rest of the person's body. To stop the infection from spreading, the infected limb may need to be amputated.
In other cases, when a limb is badly injured, the skin, bones, muscles, and nerves may be severely damaged. If the damaged tissue cannot heal, it may die. The severely damaged or dead tissue then needs to be amputated.",closed choice,grade8,natural science,literacy-in-science,Anatomy and physiology,Science literacy: how does the nervous system produce phantom pain?,nan,nan,test,"After an accident, the limb is too badly injured to heal.",The limb has healed from a serious disease.,nan,nan,"After an accident, the limb is too badly injured to heal.",1,0,0,1,چرا ممکن است فردی نیاز به قطع عضو داشته باشد؟,<!--  The provided options are gibberish and cannot be translated.  Real options would be needed for a proper translation. -->,,,,اگر قسمتی از بدن آسیب ببیند، اغلب بدن می‌تواند خود را ترمیم کند. اما گاهی اوقات، بیماری یا آسیب دیدگی می‌تواند باعث ایجاد آسیبی شود که برای بهبودی خیلی شدید است. وقتی یک عضو به شدت آسیب دیده و قابل بهبود نیست، ممکن است نیاز به قطع عضو یا برداشتن آن باشد. برای مثال، پزشک می‌تواند یک عضو آلوده را با دارو درمان کند. اما اگر عفونت از بین نرود، می‌تواند به بقیه بدن فرد سرایت کند. برای جلوگیری از گسترش عفونت، ممکن است نیاز به قطع عضو آلوده باشد. در موارد دیگر، هنگامی که یک عضو به شدت آسیب می‌بیند، پوست، استخوان‌ها، عضلات و اعصاب ممکن است به شدت آسیب ببینند. اگر بافت آسیب دیده بهبود نیابد، ممکن است از بین برود. سپس بافت آسیب دیده یا مرده باید قطع شود.,
8764,2374,"Complete the paragraph.
A volcano is a (). Volcanoes can erupt. During a volcanic eruption, melted rock () the ground.","[""fire below Earth's surface . . . turns solid below"", ""hole in Earth's surface . . . comes out of"", 'type of melted rock . . . flows into']",1,nan,closed choice,grade2,natural science,literacy-in-science,Earth events,Changes to Earth's surface: volcanic eruptions,nan,"A volcano is a hole in the ground. During a volcanic eruption, melted rock comes out of the ground through a volcano.",train,fire below Earth's surface . . . turns solid below,hole in Earth's surface . . . comes out of,type of melted rock . . . flows into,nan,hole in Earth's surface . . . comes out of,2,1,0,0,"پاراگراف زیر را کامل کنید.
آتشفشان یک ( ) است. آتشفشان‌ها می‌توانند فوران کنند. در طول فوران آتشفشانی، سنگ مذاب از زمین ( ).",1: [ ],2: [ ، ],3: [ ف ],4: [ ا ],,آتشفشان یک سوراخ در زمین است. در طول فوران آتشفشانی، سنگ مذاب از دهانه آتشفشان از زمین خارج می‌شود.
