,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
10,"وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند. گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند، حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند. از آنجا که دانش آموزان اغلب نکته‌سنج‌ترین مخاطب هستند، نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند. اگرچه وبلاگ‌نویسی «دانشجویان را مجبور می‌کند که درباره دنیای اطراف خود ادراک بیشتری داشته باشند،» ولی نیاز به تأمین علاقه مخاطب دانشجوها را ترغیب به هوشیاری و علاقمندی می‌کند (Toto, 2004). وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند. استفاده مناسب از وبلاگ‌ها «می‌تواند به دانش‌آموزان کمک کند تا به فردی تحلیلی‌تر و نقادتر تبدیل شوند؛ و از طریق پاسخ فعالانه به مطالب اینترنتی، دانش‌آموزان می‌توانند مواضع خود را در متن نوشته‌های دیگران تعریف کنند و همچنین دیدگاه‌های خود را درمورد موضوعات خاص مطرح کنند» (اوراوک، 2002).",کدام یک از جنبه‌های وبلاگ‌نویسی به عنوان انگیزه‌ای برای بهبود مهارت نویسندگی دانش‌آموزان مطرح شده است؟,2,3,پاسخ فعالانه به مطالب اینترنتی,ضرورت اجتناب از انتقاد,تأمین علاقه مخاطبانشان,نیاز به همکاری و مشارکت,False
11,ارتباطات ناهمزمان، زمان را برای انعکاس و واکنش به دیگران پیش می‌برد. این به دانش‌آموزان امکان کار با سرعت دلخواه و کنترل سرعت اطلاعات آموزشی را می‌دهد. به‌علاوه، محدودیت زمانی کمتری وجود دارد و ضمناً امکان ساعات کاری منعطف برقرار است. (برمر، 1998) استفاده از اینترنت و شبکه جهانی وب به زبان‌آموزان اجازه می‌دهد همیشه به اطلاعات دسترسی داشته باشند. دانشجویان می‌توانند در عوض اینکه تا جلسه حضوری بعدی منتظر بمانند، سؤالاتشان را نیز در هر زمانی از روز ارائه دهند و در حد معقول انتظار پاسخ سریع داشته باشند.,کدام مورد از مزایای ارتباط ناهمزمان برای دانش‌آموزان نیست؟ ,2,2,استفاده از اینترنت به عنوان منبع,دسترسی حضوری به مربی در هر زمانی از روز,ساعات کاری منعطف,کنترل سرعت,True
12,ارتباطات ناهمزمان، زمان را برای انعکاس و واکنش به دیگران پیش می‌برد. این به دانش‌آموزان امکان کار با سرعت دلخواه و کنترل سرعت اطلاعات آموزشی را می‌دهد. به‌علاوه، محدودیت زمانی کمتری وجود دارد و ضمناً امکان ساعات کاری منعطف برقرار است. (برمر، 1998) استفاده از اینترنت و شبکه جهانی وب به زبان‌آموزان اجازه می‌دهد همیشه به اطلاعات دسترسی داشته باشند. دانشجویان می‌توانند در عوض اینکه تا جلسه حضوری بعدی منتظر بمانند، سؤالاتشان را نیز در هر زمانی از روز ارائه دهند و در حد معقول انتظار پاسخ سریع داشته باشند.,با توجه به متن، کدام جنبه از ارتباطات ناهمزمان برای دانش‌آموزان انعطاف‌پذیر نیست؟,3,3,سرعت یادگیری,ساعات کار,اطلاعات آموزشی,استفاده از اینترنت,True
13,قلعه قرون وسطایی سنتی مدت‌ها الهام‌بخش تخیل بوده است، به‌طوری تصاویر مسابقات نیزه‌بازی سوارکارها، ضیافت‌ها و شوالیه‌گری شاه آرتور را درنظر مجسم می‌کرده است. حتی ایستادن در میان ویرانه‌های هزار ساله، به‌راحتی می‌تواند صداها و بوهای نبردهایی که مدتها پیش روی داده را به ذهن متبادر سازد، می‌توان صدای دست و پنجه نرم کردن روی تخته سنگ‌ها را بشنوید و ترس حاصل از سوراخ‌های سیاه چاله را بویید. ولی آیا تصور ما مبتنی بر واقعیت است؟ اصلاً چرا قلعه‌ها ساخته شدند؟ طراحی و ساخت آنها چگونه بود؟,کدام مورد به عنوان چیزی که می‌تواند با قلعه‌های قرون وسطایی مرتبط باشد، در متن ذکر نشده است؟,4,4,سوراخ‌های سیاه چاله,نیزه‌بازی سوارکارها,شوالیه‌گری,شوالیه‌ها,True
14,قلعه قرون وسطایی سنتی مدت‌ها الهام‌بخش تخیل بوده است، به‌طوری تصاویر مسابقات نیزه‌بازی سوارکارها، ضیافت‌ها و شوالیه‌گری شاه آرتور را درنظر مجسم می‌کرده است. حتی ایستادن در میان ویرانه‌های هزار ساله، به‌راحتی می‌تواند صداها و بوهای نبردهایی که مدتها پیش روی داده را به ذهن متبادر سازد، می‌توان صدای دست و پنجه نرم کردن روی تخته سنگ‌ها را بشنوید و ترس حاصل از سوراخ‌های سیاه چاله را بویید. ولی آیا تصور ما مبتنی بر واقعیت است؟ اصلاً چرا قلعه‌ها ساخته شدند؟ طراحی و ساخت آنها چگونه بود؟,کدام مورد به عنوان بو یا صدایی که می‌تواند در میان خرابه‌های قلعه به ذهن متبادر شود، مطرح نشده است؟,3,3,مبارزه‌ها,ترس,ضیافت‌ها,دست و پنجه نرم کردن,True
15,برای این دوره معمول است، قلعه Kirby Muxloe بیش از آنکه یک قلعه واقعی باشد، یک خانه مستحکم است. پنجره‌های بزرگ لعاب‌دار و دیوارهای نازک آن برای مدت طولانی نمی‌توانست در برابر حمله طولانی‌مدت مقاومت کند. در دهه 1480، هنگامی که ساخت آن توسط Lord Hastings آغاز شد، این کشور نسبتاً صلح آمیز بود و فقط در برابر گروه‌های کوچکی از غارتگران غربتی به دفاع نیاز بود.,کدام مورد توصیف دقیقی از قلعه Kirby Muxloe نیست؟,2,4,دیوارهای ضخیم قلعه به درخواست Lord Hastings ساخته شده بود ,به دلیل ماهیت صلح‌آمیز کشور در زمان ساخت به استحکامات چندانی نیاز نداشت ,ساخت قلعه در آن دوره زمانی رایج نبود,برای مقاومت در برابر حملات طولانی‌مدت و خاصی ساخته شده بود,False
16,برای این دوره معمول است، قلعه Kirby Muxloe بیش از آنکه یک قلعه واقعی باشد، یک خانه مستحکم است. پنجره‌های بزرگ لعاب‌دار و دیوارهای نازک آن برای مدت طولانی نمی‌توانست در برابر حمله طولانی‌مدت مقاومت کند. در دهه 1480، هنگامی که ساخت آن توسط Lord Hastings آغاز شد، این کشور نسبتاً صلح آمیز بود و فقط در برابر گروه‌های کوچکی از غارتگران غربتی به دفاع نیاز بود.,کدام یک از ویژگی‌های ساخت‌وساز برای قلعه Kirby Muxloe در طول دوره زمانی توصیف‌شده در متن غیرعادی در نظر گرفته می‌شد؟,2,1,پنجره‌های بزرگ,بنیانی که برای مقاومت در حملات ساخته شده است,استحکاماتی کمتر‌ از برخی قلعه‌ها,دیوارهای نازک,False
17,با تغییر از دوی یک چهارم مایل به نیم مایل، سرعت از اهمیت بسیار کمتری برخوردار می شود و استقامت به یک ضرورت مطلق تبدیل می شود. البته یک دونده دوی نیم مایل درجه یک، کسی که می تواند رکورد دو دقیقه را بزند، باید از سرعت نسبتاً خوبی برخوردار باشد، اما استقامت باید در هر خطری پرورش یابد. کمی دویدن در داخل روستا درطی زمستان، همراه با تمرینات بدنسازی قسمت فوقانی بدن، بهترین روش آماده سازی برای فصل دویدن است.,با توجه به متن،‌ کدام مورد برای دونده‌ای که برای فصل آینده آماده می‌شود سودمندتر است؟,4,4,دویدن در داخل روستا در تابستان,تمرکز بر بهبود سرعت حین تمرین,زدن رکورد سه دقیقه‌ای,بهره بردن از باشگاه برای تمرین قسمت فوقانی بدن,True
18,با تغییر از دوی یک چهارم مایل به نیم مایل، سرعت از اهمیت بسیار کمتری برخوردار می شود و استقامت به یک ضرورت مطلق تبدیل می شود. البته یک دونده دوی نیم مایل درجه یک، کسی که می تواند رکورد دو دقیقه را بزند، باید از سرعت نسبتاً خوبی برخوردار باشد، اما استقامت باید در هر خطری پرورش یابد. کمی دویدن در داخل روستا درطی زمستان، همراه با تمرینات بدنسازی قسمت فوقانی بدن، بهترین روش آماده سازی برای فصل دویدن است.,با توجه به متن، کدام مورد زیر برای دونده درجه یک نیم مایل از اهمیت بالایی برخوردار است؟,2,2,دویدن در داخل روستا در ماه‌های زمستان,تقویت مقاومت نسبت به سرعت,ثبت رکورد زیر دو دقیقه,تقویت سرعت نسبت به مقاومت,True
19,شیوه‌های مناسب تغذیه‌ای به تنهایی نمی‌تواند عملکردی ممتاز ایجاد کنند، اما می‌توانند به طور قابل توجهی بر تندرستی کلی ورزشکاران جوان تأثیر بگذارد. حفظ تعادل سالم انرژی، تمرین عادات اثربخش آبرسانی، و درک جنبه‌های مختلف فعالیت‌های مکمل می‌تواند به ورزشکاران در ارتقای عملکردشان و لذت بردن بیشتر از ورزش کمک کند.,کدام یک از موارد زیر برای یک ورزشکار به تنهایی از طریق شیوه‌های تغذیه‌ای قابل دستیابی نیست؟,3,3,بهبود عملکرد,لذت بردن بیشتر,عملکرد ممتاز,تندرستی کلی,True
20,شیوه‌های مناسب تغذیه‌ای به تنهایی نمی‌تواند عملکردی ممتاز ایجاد کنند، اما می‌توانند به طور قابل توجهی بر تندرستی کلی ورزشکاران جوان تأثیر بگذارد. حفظ تعادل سالم انرژی، تمرین عادات اثربخش آبرسانی، و درک جنبه‌های مختلف فعالیت‌های مکمل می‌تواند به ورزشکاران در ارتقای عملکردشان و لذت بردن بیشتر از ورزش کمک کند.,با توجه به متن، کدام مورد زیر به عنوان راهی برای لذت بردن بیشتر ورزشکاران جوان از ورزششان پیشنهاد نمی‌شود؟,2,2,تغذیه مناسب,تمرین پیوسته در سطح ممتاز,آبرسانی مؤثر,حفظ تعادل سالم انرژی,True
21,دو نیمه‌استقامت یکی از ورزش‌های نسبتاً کم‌خرج است؛ با این حال، تصورات غلطی درخصوص اندک تجهیزاتی که برای وارد شدن به این رشته نیاز است وجود دارد. محصولات را می‌توان طبق نیاز خریداری کرد، اما اکثر آنها در واقعیت اثری روی عملکرد نداشته یا اثر آن ناچیز است. ورزشکاران ممکن است محصولی را براساس حسشان ترجیح دهند حتی اگر در واقعیت مزیتی نداشته باشد.,با توجه به متن، چرا دونده دو نیمه استقامت ممکن است تجهیزات گران‌تری را خریداری کند؟,1,1,ترجیح شخصی آنها است,مزایای ثابت‌شده دارد,تأثیر قابل‌توجهی بر عملکردشان خواهد داشت,باورهای نادرستی پیرامون تجهیزات گران‌قیمت وجود دارد,True
22,دو نیمه‌استقامت یکی از ورزش‌های نسبتاً کم‌خرج است؛ با این حال، تصورات غلطی درخصوص اندک تجهیزاتی که برای وارد شدن به این رشته نیاز است وجود دارد. محصولات را می‌توان طبق نیاز خریداری کرد، اما اکثر آنها در واقعیت اثری روی عملکرد نداشته یا اثر آن ناچیز است. ورزشکاران ممکن است محصولی را براساس حسشان ترجیح دهند حتی اگر در واقعیت مزیتی نداشته باشد.,با توجه به متن، دو نیمه‌استقامت چه الزاماتی دارد؟,3,3,تجهیزات زیاد,سابقه ورزشی محرز,تجهیزات اندک,پول زیاد,True
23,ساز و کار ام‌آرآی بر پایه پدیده‌ای در علم فیزیک است به نام رزونانس مغناطیسی هسته‌ای (NMR)، که در دهه 1930 توسط فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف شد. در این رزونانس، میدان مغناطیسی و امواج رادیویی باعث می‌شود اتم‌ها سیگنال‌های رادیویی کوچکی را از خود بیرون دهند. در سال 1970، ریموند دامادیان، پزشک و دانشمند محقق، اساس استفاده از تصویربرداری رزونانس مغناطیسی را به عنوان ابزاری برای تشخیص پزشکی کشف کرد. چهار سال بعد حق اختراعی اعطا شد که اولین حق اختراع صادره در جهان در زمینه ام‌آرآی بود. در سال 1977، دکتر دامادیان اولین اسکنر MRI «تمام بدن» را ساخت و آن را Indomitable (رام‌نشدنی) نامید.,چه کسی رزونانس مغناطیسی هسته‌ای را کشف کرد؟ ,3,3,پورسل,دامادیان,بلوچ و پورسل,بلوچ و دامادیان,True
24,ساز و کار ام‌آرآی بر پایه پدیده‌ای در علم فیزیک است به نام رزونانس مغناطیسی هسته‌ای (NMR)، که در دهه 1930 توسط فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف شد. در این رزونانس، میدان مغناطیسی و امواج رادیویی باعث می‌شود اتم‌ها سیگنال‌های رادیویی کوچکی را از خود بیرون دهند. در سال 1970، ریموند دامادیان، پزشک و دانشمند محقق، اساس استفاده از تصویربرداری رزونانس مغناطیسی را به عنوان ابزاری برای تشخیص پزشکی کشف کرد. چهار سال بعد حق اختراعی اعطا شد که اولین حق اختراع صادره در جهان در زمینه ام‌آرآی بود. در سال 1977، دکتر دامادیان اولین اسکنر MRI «تمام بدن» را ساخت و آن را Indomitable (رام‌نشدنی) نامید.,اولین حق اختراع اعطاشده برای رزونانس مغناطیسی هسته‌ای در چه سالی بود؟ ,2,2,1977,1974,1930,1970,True
25,انسان‌ها با اختلاف بااستعدادترین گونه در خواندن ذهن دیگران بوده‌اند. یعنی ما قادر هستیم با موفقیت پیش‌بینی کنیم که سایر انسانها چه چیزی را ادراک می‌کنند، چه قصدی دارند، به چه چیزی اعتقاد دارند، چه چیزی می‌دانند یا می‌خواهند. در بین این توانایی‌ها، درک هدف دیگران بسیار مهم است. این مهم به ما اجازه می‌دهد تا ابهامات احتمالی اقدامات فیزیکی را برطرف کنیم. برای نمونه، اگر می‌دیدید کسی در حال شکستن یک پنجره اتومبیل است، احتمالاً تصور می‌کردید او سعی دارد اتومبیل یک غریبه را سرقت کند. اگر او کلیدهای اتومبیل خود را گم کرده بود و اتومبیلی که سعی داشت داخل آن شود اتومبیل شخصی او بود، باید به شکل متفاوتی مورد قضاوت قرار می‌گرفت.,با توجه به متن، انسان‌ها برای تفسیر اقدامات فیزیکی دیگران باید درکی قوی از چه چیزی داشته باشند؟,2,2,تمایل,قصد,اعتقاد,ادراک,True
26,انسان‌ها با اختلاف بااستعدادترین گونه در خواندن ذهن دیگران بوده‌اند. یعنی ما قادر هستیم با موفقیت پیش‌بینی کنیم که سایر انسانها چه چیزی را ادراک می‌کنند، چه قصدی دارند، به چه چیزی اعتقاد دارند، چه چیزی می‌دانند یا می‌خواهند. در بین این توانایی‌ها، درک هدف دیگران بسیار مهم است. این مهم به ما اجازه می‌دهد تا ابهامات احتمالی اقدامات فیزیکی را برطرف کنیم. برای نمونه، اگر می‌دیدید کسی در حال شکستن یک پنجره اتومبیل است، احتمالاً تصور می‌کردید او سعی دارد اتومبیل یک غریبه را سرقت کند. اگر او کلیدهای اتومبیل خود را گم کرده بود و اتومبیلی که سعی داشت داخل آن شود اتومبیل شخصی او بود، باید به شکل متفاوتی مورد قضاوت قرار می‌گرفت.,با توجه به متن، درک قصد به انسان‌ها در انجام چه کاری کمک می‌کند؟,1,1,حذف ابهامات مربوط به اقدامات فیزیکی,پیش‌بینی تمایلات,دیدن سایر انسان‌ها بدون قضاوت,خواندن ذهن دیگران,True
27,گرچه هوش مصنوعی از دلالت ضمنی قوی بر داستان‌های علمی-تخیلی برخوردار است، هوش مصنوعی شاخه‌ای بسیار مهم از علوم رایانه‌ای را شکل می‌دهد، که با رفتار، یادگیری و سازگاری هوشمند در یک ماشین سروکار دارد. پژوهش در صنعت هوش مصنوعی شامل ساخت ماشین‌ها برای خودکار‌سازی وظایفی می‌شود که مستلزم رفتار هوشمندانه است. نمونه‌ها عبارتند از کنترل، برنامه‌ریزی، زمان‌بندی، توانایی پاسخ‌گویی به مشکلات و سؤالات مشتریان، و همچنین تشخیص دست‌خط، صدا و چهره. چنین مواردی تبدیل به رشته‌هایی مجزا شده‌اند که بر ارائه راه حل‌هایی برای مشکلات زندگی واقعی تمرکز می‌کنند. اکنون از سیستم هوش مصنوعی اغلب در زمینه‌های اقتصادی، پزشکی، مهندسی و نظامی استفاده می‌شود، همان‌طور که در رایانه‌های خانگی متعدد و برنامه‌های نرم‌افزاری بازی‌های ویدئویی تعبیه شده است.,با توجه به متن، کدام مورد زیر خلاصه دقیقی از هدف اصلی هوش مصنوعی است؟,4,4,برنامه‌ریزی,تشخیص صدا ,زمان‌بندی,خودکارسازی وظایف,True
28,گرچه هوش مصنوعی از دلالت ضمنی قوی بر داستان‌های علمی-تخیلی برخوردار است، هوش مصنوعی شاخه‌ای بسیار مهم از علوم رایانه‌ای را شکل می‌دهد، که با رفتار، یادگیری و سازگاری هوشمند در یک ماشین سروکار دارد. پژوهش در صنعت هوش مصنوعی شامل ساخت ماشین‌ها برای خودکار‌سازی وظایفی می‌شود که مستلزم رفتار هوشمندانه است. نمونه‌ها عبارتند از کنترل، برنامه‌ریزی، زمان‌بندی، توانایی پاسخ‌گویی به مشکلات و سؤالات مشتریان، و همچنین تشخیص دست‌خط، صدا و چهره. چنین مواردی تبدیل به رشته‌هایی مجزا شده‌اند که بر ارائه راه حل‌هایی برای مشکلات زندگی واقعی تمرکز می‌کنند. اکنون از سیستم هوش مصنوعی اغلب در زمینه‌های اقتصادی، پزشکی، مهندسی و نظامی استفاده می‌شود، همان‌طور که در رایانه‌های خانگی متعدد و برنامه‌های نرم‌افزاری بازی‌های ویدئویی تعبیه شده است.,با توجه به متن، هوش مصنوعی اغلب با کدام یک از موارد زیر مرتبط است؟,3,4,خدمات مشتریان,برنامه‌ریزی و زمان‌بندی,داستان علمی-تخیلی,تشخیص دست‌خط,False
29,الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک از موارد زیر نقطه قوت فردی با الگوهای فکری همگرا است؟,4,4,شناسایی پاسخ‌های صحیح و چندگانه برای یک مسئله,اعمال راهکارهای جدید برای یک مسئله,وقت گذاشتن برای حل مسائل,به خاطر سپردن الگوها,True
30,الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,2,2,درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,True
31,استفاده از ضبط ویدئویی منجر به اکتشافات مهمی در زمینه تفسیر میکرو بیان و حرکات صورت شد که تنها چند میلی ثانیه طول می‌کشند. به ویژه، ادعا می شود که با تفسیر صحیح عبارات کوچک می‌توان تشخیص داد که فرد دروغ می‌گوید. الیور ساکس، در مقاله خود «سخنان رئیس جمهور»، نشان داد که چگونه افرادی که به دلیل آسیب مغزی قادر به درک گفتار نیستند، باز هم قادر هستند خلوص نیت را به طور دقیق ارزیابی کنند. او حتی اظهار می‌دارد که چنین توانایی‌هایی در تفسیر رفتار انسانی می‌تواند در حیواناتی مثل سگ‌های خانگی مشترک باشد.,با توجه به متن، کدام یک از موارد زیر میکرو بیان تلقی نمی‌شود؟,4,4,منحرف شدن نگاه حین صحبت,جمع کردن پیشانی,پلک زدن سریع,بالا بردن انگشت شست,True
