,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
84,در خارج از ساوانا، برآورده کردن نيازهاي مبتنی بر اسيد آمینه از منابع گياهي موجود برای یک نخستی که دستگاه گوارشی مشابه انسان داشته، کار دشواری بوده است. از این گذشته، عدم انجام این امر عواقب جدی دارد: افسردگی رشد، سوء تغذیه و در نهایت مرگ. بیشترین منابع گیاهی قابل دسترسی پروتئین های موجود در برگ ها و حبوبات می باشد، اما هضم اینهت توسط پستاندارانی مانند ما سخت است، مگر اینکه پخته شوند. در مقابل، غذاهای حیوانی (مورچه‌ها، موریانه‌ها‌، تخم‌ها) نه تنها به راحتی قابل هضم هستند بلکه پروتئین‌های با کیفیت بالا در اختیار قرار می‌دهند که حاوی تمام اسیدهای آمینه ضروری است. همه چیز در نظر گرفته شده است، و اگر اجداد خودمان «مشکل پروتئین» خود را تقریباً به همان شیوه‌ای حل کرده‌اند که امروزه شامپانزه‌ها در ساوانا انجام می‌دهند، نباید تعجب کنیم.,با توجه به متن، کدام یک از مشکلات زیر ناشی از کمبود اسیدهای آمینه ضروری نیست؟,1,4,مشکلات گوارش و هضم,سوءتغذیه,افسردگی رشد,مرگ,False
98,اختلال در خواب فرآیند بیداری آگاهانه در طول خواب معمولی و بعد از مدتی مجددا به خواب رفتن (10-60 دقیقه) است. این کار را می توان به راحتی با استفاده از یک ساعت زنگ دار نسبتاً آرام انجام داد تا بدون اینکه شما را کاملا از خواب بیدار کند، شما را هوشیار کند. اگر متوجه شدید که ساعت بیدارباش را در خواب خاموش می‌کنید، می‌تواند آن را در طرف دیگر اتاق قرار دهید تا برای خاموش کردنش مجبور باشید از رختخواب خارج شوید. سایر گزینه‌های مبتنی بر بیوریتم شامل نوشیدن مقدار زیادی مایعات (بخصوص آب یا چای، یک ادرارآور مشخص) پیش از خواب می‌شود که فرد را مجبور می‌کند برای ادرار کردن از خواب برخیزد.,پس از بیدار شدن هدفمند در طول دوره خواب طبیعی، کدام یک از این موارد در روند قطع خواب اختلال ایجاد می‌کند؟,1,3,قبل از اینکه دوباره بخوابید یک ساعت و نیم مطالعه کنید,استفاده از دستشویی و بازگشت به رختخواب,خاموش کردن زنگ ساعت روی میز پاتختی و بیست دقیقه بعد دوباره خوابیدن,بیدار شدن برای نوشیدن آب از یک بطری روی میز پاتختی,False
99,اختلال در خواب فرآیند بیداری آگاهانه در طول خواب معمولی و بعد از مدتی مجددا به خواب رفتن (10-60 دقیقه) است. این کار را می توان به راحتی با استفاده از یک ساعت زنگ دار نسبتاً آرام انجام داد تا بدون اینکه شما را کاملا از خواب بیدار کند، شما را هوشیار کند. اگر متوجه شدید که ساعت بیدارباش را در خواب خاموش می‌کنید، می‌تواند آن را در طرف دیگر اتاق قرار دهید تا برای خاموش کردنش مجبور باشید از رختخواب خارج شوید. سایر گزینه‌های مبتنی بر بیوریتم شامل نوشیدن مقدار زیادی مایعات (بخصوص آب یا چای، یک ادرارآور مشخص) پیش از خواب می‌شود که فرد را مجبور می‌کند برای ادرار کردن از خواب برخیزد.,کدام یک از موارد زیر توصیف دقیقی از وقفه خواب نیست؟,4,2,در ریتم طبیعی می‌توان از آن استفاده کرد ,هدف کامل بیدار کردن خود نیست,این فرآیند در طول دوره خواب طبیعی شما انجام می‌شود,پس از بیدار شدن، هدف این است که در عرض دو ساعت دوباره بخوابید,False
103,تیم‌های مجازی هم همان معیارهای تعالی تیم‌های معمولی برایشان اعمال می‌شود، اما تفاوت‌های جزئی در آنها هست. اعضای تیم مجازی اغلب به عنوان نقطه تماس برای گروه فیزیکی مجاورشان عمل می‌کنند. آنها اغلب خود‌مختاری بیشتری نسبت به اعضای تیم قراردادی دارند چون تیم‌های آنها می‌توانند براساس مناطق زمانی مختلف تشکیل جلسه دهند ولی ممکن است مدیریت محلی‌شان این مناطق زمانی را متوجه نشود. حضور یک «تیم نامرئی» واقعی (لارسون و لافاستو، 1989، صفحه 109) همچنین یک مؤلفه منحصر به فرد یک از یک تیم مجازی است. تیم مدیریت «تیم نامحسوس» است که هر یک از اعضا به آن گزارش می‌دهند. این تیم نامحسوس استانداردهای مخصوص هر عضو را تعیین می‌کند.,بر اساس متن، کدام جمله درباره تیم‌های فیزیکی و مجازی صحت ندارد؟,1,3,تیم‌های معمولی معمولاً با استانداردهای بالاتری برگزار می‌شوند,تیم‌های مجازی اغلب به عنوان نقطه تماس تیم‌های معمولی عمل می‌کنند,تیم‌های معمولی استقلال کمتری نسبت به تیم‌های مجازی دارند,مناطق زمانی متفاوت می‌تواند به نفع تیم‌های مجازی باشد,False
105,قانون بسیار آزار دهنده و مسخره یک سوم یک راهنمایی ساده برای ایجاد پویایی و در عین حال حفظ نظم در یک تصویر است. بیان می کند که موثرترین مکان برای موضوع اصلی در تقاطع خطوط تقسیم کننده تصویر به سه تصویر عمودی و افقی است (به مثال مراجعه کنید).,کدام یک از موارد زیر مشمول قانون یک سوم نیست؟,1,3,خلق مبنایی برای جایی که ممکن است سوژه قرار گیرد,خلق انرژی و زندگی در یک تصویر,حفظ سوژه در یک مکان معین و مؤثر,ایجاد نظم درون یک تصویر,False
106,به عنوان مثال، رایج ترین قالب عکاسی تصویر ثابت در جهان 35 میلی متر است که در اواخر دوران فیلم آنالوگ، اندازه غالب فیلم بود. امروزه همچنان تولید می‌شود، اما مهم‌تر این که نسبت تصویرش را از فرمت‌های حسگر تصویر دوربین دیجیتال گرفته است. در واقع فرمت 35 میلی متر کمی گیج‌کننده است، و پهنای 36 میلی‌متر در بلندی 24 میلی‌متر است. بنابراین، نسبت ابعاد این فرمت (که تقسیم بر دوازده می‌کنیم تا ساده‌ترین نسبت با عدد صحیح حاصل شود) برابر 3:2 بیان می‌شود. فرمت‌های معمول زیادی (مثلاً فرمت‌های خانواده APS) با این نسبت ابعاد برابر یا بسیار نزدیک به آن است.,کدام یک از موارد زیر قالب عکاسی 35 میلی‌متر را توصیف نمی‌کند؟,3,2,همچنان تولید می‌شود,از فرمت‌های دوربین‌های دیجیتال اقتباس شده است,نسبت ابعاد آن با بسیاری از قالب‌های رایج متفاوت است,رایج‌ترین قالب عکاسی در جهان است,False
108,عیب لنزهای بزرگنما این است که پیچیدگی کانونی و تعداد عناصر لنز که برای دستیابی به گستره فاصله کانونی مورد نیاز است، بسیار بیشتر از لنزهای اولیه است. همچنان‌که تولیدکنندگان لنز به استانداردهای بالاتری در تولید لنز دست می‌یابند، این مشکل کم‌کم در حال حل شدن است. این امکان بوجود آمده که لنزهای بزرگ‌نمایی کیفیت عکسی قابل قیاس با کیفیت عکس لنزهای دارای طول فوکوس ثابت حاصل کنند. یکی دیگر از عیب‌های لنزهای زوم این است که حداکثر دیافراگم (سرعت) لنز معمولاً کمتر است. این موضوع استفاده از لنزهای بزرگ‌نمایی ارزان در محیط‌های کم‌نور را بدون فلش دشوار کرده است.,بر اساس اطلاعات موجود در متن، چه زمانی ممکن است لنز بزرگنما به لنز اولیه ارجحیت داشته باشد؟,4,2,اگر حداکثر دیافراگم بالا در اولویت باشد,اگر عناصر لنز کمتری می‌خواهید,اگر در شرایط کم‌نور قصد استفاده از فلاش ندارید,اگر به دنبال پیچیدگی فوکوس کمتری هستید,False
115,تمدن دره ایندوس تمدن عصر برنز در شمال غربی شبه قاره هند بود که بیشتر پاکستان امروزی و برخی مناطق در شمال غربی هند و شمال شرقی افغانستان را شامل می شد. این تمدن در آبگیر رودخانه ایندوس شکوفا شد و نام خود را از آن می‌گیرد. اگرچه برخی از محققان گمان می‌كنند مناسب‌تر است تمدنی که در آبگیر خشك شده رودخانه سرسوتی نیز وجود داشته را تمدن دره سند-سرسوتی بنامیم، این درحالیست‌که برخی به خاطر نخستین سایت حفاری در دهه 1920 در هاراپا به آن تمدن هارپان می‌گویند.,با توجه به متن، کدام مکان با تمدن دره ایندوس مرتبط نیست؟,3,2,هاراپا,رودخانه سرسوتی,تمامی مناطق در شمال شرق افغانستان,اغلب بخش‌های پاکستان امروزی,False
116,تمدن دره ایندوس تمدن عصر برنز در شمال غربی شبه قاره هند بود که بیشتر پاکستان امروزی و برخی مناطق در شمال غربی هند و شمال شرقی افغانستان را شامل می شد. این تمدن در آبگیر رودخانه ایندوس شکوفا شد و نام خود را از آن می‌گیرد. اگرچه برخی از محققان گمان می‌كنند مناسب‌تر است تمدنی که در آبگیر خشك شده رودخانه سرسوتی نیز وجود داشته را تمدن دره سند-سرسوتی بنامیم، این درحالیست‌که برخی به خاطر نخستین سایت حفاری در دهه 1920 در هاراپا به آن تمدن هارپان می‌گویند.,کدام یک از موارد زیر به عنوان نام احتمالی تمدن عصر برنز مورد بحث در متن ذکر نشده است؟,3,2,تمدن هاراپا,تمدن ایندوس - سرسوتی,تمدن رودخانه ایندوس,تمدن دره ایندوس,False
122,ماهیت نظامی‌گرای امپراتوری روم به توسعه پیشرفت‌های پزشکی کمک کرد. امپراتور آگوستوس شروع به استخدام پزشکان کرد و حتی نخستین سپاه پزشکان رومی را برای بکارگیری پس از نبردها تشکیل داد. جراح‌ها از آرام‌بخش‌های متنوع از جمله مرفین که از عصاره دانه‌های خشخاش گرفته می‌شود و اسکوپولامین که از بنگ‌دانه گرفته می‌شود اطلاع داشتند. آنها برای نجات بیماران مبتلا به قانقاریا در قطع عضو و نیز برای جلوگیری از جریان خون در استفاده از تورنیکت‌ها و شریان‌بندها ماهر شدند. طی قرن‌های بسیار، امپراتوری روم به دستاوردهای بزرگی در زمینه پزشکی رسید و بخش اعظمی از دانش امروزی ما را شکل داد.,کدام درمان یا عمل پزشکی مورد استفاده پزشکان و جراحان در دوران امپراتوری روم ذکر نشده است؟,1,2,درمان اختلال اضطراب پس از سانحه با آرامبخش‌های مختلف,استفاده از عصاره بنگ‌دانه برای اسکوپولامین,استفاده از شریان‌بند برای جلوگیری از جریان خون,قطع عوض در بیماران مبتلا به قانقاریا,False
134,با این حال، در ماه ژوئن 1956، وقتی طی آشوب‌های لهستان که کارگران به اعتصاب علیه کمبود غذا و کاهش دستمزد پرداختند به شکل اعتراضات عمومی علیه کمونیسم در آمد، وعده‌های خروشچف به بوته آزمایش گذاشته شد. گرچه در پایان، کروشچف برای بازگرداندن نظم از تانک‌ها کمک گرفت، اما وی برخی از مطالبات اقتصادی را کنار گذاشت و موافقت کرد که ولادیسلاو گومولکا محبوب به عنوان نخست وزیر جدید منصوب شود.,کدام یک از موارد زیر علت شورش در لهستان نبود؟,4,1,کمونیسم ,کمبود غذا,کاهش دستمزد,انتصاب ولادیسلاو گومولکا,False
135,آلمان دشمن مشترکی در جنگ جهانی دوم بود که منجر به اتحاد بین شوروی و ایالات متحده شد. با پایان جنگ، اختلاف در سیستم، پروسه و فرهنگ منجر به جدایی این کشورها شد. با توجه به دو سال آخر جنگ، حالا متحدان سابق دشمن شده بودند و جنگ سرد آغاز شد. این برای آن بود که برای 40 سال آینده دوام داشته باشد و با ارتش‌های نیابتی، در جبهه‌های نبردی از آفریقا تا آسیا، در افغانستان، کوبا و بسیاری از مناطق دیگر به صورت حقیقی بجنگد.,با توجه به متن، کدام یک از موارد زیر بر روابط بین اتحاد جماهیر شوروی و ایالات متحده تأثیری نداشت؟,2,4,تفاوت‌های فرهنگی,دیدگاه‌ها درباره آلمان,اختلاف در پروسه‌ها,اختلاف در سیستم‌ها,False
137,هرم بزرگ جیزه تنها بازمانده عجایب هفتگانه است که هنوز پابرجا است. هرم بزرگ که توسط مصریان در قرن سوم قبل از میلاد ساخته شده، یکی از چندین سازه بزرگ هرمی است که به منظور احترام به فرعون مرده ساخته شده است. فلات جیزه یا «مجموعه اهرام جیزه» در دره مردگان مصر شامل چند هرم می‌باشد (که از میان آنها هرم بزرگ بزرگترین است) و چند قبر کوچک،‌ چند معبد و مجسمه ابولهول بزرگ در آن دره واقع است. هرم بزرگ به احترام فرعون خوفو ساخته شد، و بسیاری از اهرام کوچک‌تر، مقبره‌ها و معابد به احترام همسران و اعضای خانواده خوفو ساخته شدند.,چه چیزی را می‌توان در فلات جیزه پیدا کرد؟,3,2,مقبره‌ها,معبدها,همه عجایب هفتگانه,هرم بزرگ,False
143,استفاده از کشتی‌ها برای حمل و نقل کالا به‌مراتب کارآمدترین راه برای جابجایی تعداد زیادی از افراد و اجناس از میان اقیانوس است. به‌طور سنتی کار نیروهای دریایی از این قرار بود که اطمینان حاصل کنند کشورتان توانایی جابجایی افراد و کالاهای شما را داشته باشد، و درعین‌حال در توانایی دشمن‌تان برای جابجایی مردم و کالاهایش مداخله کنند. یکی از مثال‌هایی که ارزش بیان کردن دارد مبارزه در اقیانوس اطلس شمالی در جنگ جهانی دوم بود. آمریکایی‌ها سعی داشتند افراد و لوازم را برای کمک به بریتانیا از اقیانوس اطلس عبور دهند. در همین حال، نیروی دریایی آلمان عمدتاً با استفاده از یو-بوت سعی داشت که این عبور و مرور را متوقف کند. اگر آلمان متفقین را شکست می‌داد، شاید می‌توانست بر بریتانیا پیروز شود چون بقیه اروپا را در دست داشت.,نیروی دریایی آلمان در طول جنگ جهانی دوم در تلاش بود تا چه کاری انجام دهد؟,2,4,رهگیری کالاهایی که از بریتانیا می‌آمدند,ممانعت از تحویل مردم و کالا توسط بریتانیا,حمل‌ونقل اجناس از میان اقیانوس اطلس,ممانعت از تحویل مردم و کالا توسط آمریکا,False
161,دروکگیال دزونگ یک قلعه مخروبه و صومعه بودایی است که در بخش اولیای استان پارو (در روستای فوندی) واقع شده است. گفته می‌شود Zhabdrung Ngawang Namgyel قلعه را در سال 1649 ساخت تا پیروزی‌اش مقابل نیروهای تبتی-مغولی را به‌یادبود جشن بگیرد. در سال 1951، بروز حریقی باعث شد فقط کمی از دروکگیال دزونگ به یادگار بماند، از جمله تصویر Zhabdrung Ngawang Namgyal. پس از آن آتش‌سوزی، از قلعه حفاظت و نگهداری شد به‌طوری که یکی از برجسته‌ترین جاذبه‌های بوتان برجا ماند.,کدام جمله درباره دروکگیال دزونگ درست نیست؟,1,3,برای جشن پیروزی مقابل نیروهای تبتی-مغولی ساخته شد,در بوتان واقع شده است,آتش بسیاری از آثار قلعه را از بین برد,توسط Zhabdrung Ngawang Namgyel ساخته شده است,False
165,شروع تایوان به قرن 15ام بر می‌گردد، آن زمان که ملوانان اروپایی که از آنجا می‌گذشتند نام جزیره را «Ilha Formosa» یا جزیره زیبا نامیدند. در سال 1624، کمپانی Dutch East India پایگاهی را در جنوب غربی تایوان تأسیس می‌کند، که آغازگر یک دگرگونی در عملیات تولید غلات بومی است و کارگران چینی را برای کار در مزارع شکر و برنج خود بکار می‌گیرد. در سال 1683، سلسله چینگ (1644-1912) کنترل نواحی غربی و شمالی تایوان را به زور در دست گرفت و در سال 1885 تایوان را به‌عنوان یکی از استان‌های امپراطوری چینگ اعلام کرد. در سال 1895، دولت چینگ پس از شکست در اولین جنگ چین و ژاپن (1894 تا 1895) قرارداد شیمونوسکی را امضا کرد که طبق آن حاکمیت تایوان به ژاپن واگذار شد و ژاپن تا سال 1945 این جزیره را تحت سلطه خود داشت.,کمپانی Dutch East India در مدت زمانی که در تایوان بود، کدام کار را انجام نداد؟,4,2,پایگاهی در جنوب غرب جزیره داشت,مبادرت به تولید غلات بومی,به کارگیری کارگران چینی در مزارع خود,تمایل به واگذاری کنترل تایوان به سلسله چینگ,False
175,ببر همانند یک ورزشکار شش‌دنگ، می‌تواند صعود کند (هرچند در این زمینه خیلی خوب نیست)، شنا کند، مسافت‌های طولانی را بپیماید و پنج برابر نیروی یک انسان قوی چیزی را بکشد. ببر نیز با شیر، پلنگ، و جاگوار در یک گروه (Genus Panthera) قرار می‌گیرد. این چهار گونه تنها گربه‌سانانی هستند که می‌توانند غرش کنند. غرش ببر مانند صدای کامل غرش یک شیر نیست، بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است.,کدام مورد از قدرت‌های برتر ببر در نظر گرفته نمی‌شود؟,2,3,غرش,صعود کردن,پرش,کشیدن,False
198,"قسمت اروپایی ترکیه (تراکیه شرقی یا روملی در شبه‌جزیره بالکان) 3% از کشور را تشکیل می‌دهد. قلمرو ترکیه بیش از 1,600 کیلومتر (1,000 مایل) از جهت طول و 800 کیلومتر (500 مایل) از جهت عرض ادامه یافته است، ضمن اینکه شکل کلی آن مستطیلی است. مساحت ترکیه، شامل دریاچه ها، 783562 کیلومتر مربع (300948 مایل مربع) را اشغال می کند، از این مقدار، 755688 کیلومتر مربع (291773 مایل مربع) در جنوب غربی آسیا و 23764 کیلومتر مربع (9174 مایل مربع) در اروپا قرار دارد. مساحت ترکیه از لحاظ بزرگی در جهان 37 ام است، و تقریباً اندازه مجموع مساحت فرانسه متروپل و انگلستان است. ترکیه از سه طرف توسط دریا احاطه شده است: از غرب با دریای اژه، از شمال با دریای سیاه و از جنوب با دریای مدیترانه.",با توجه به متن، طول ترکیه حدود چند مایل است؟,4,1,1600,9174,500,1000,False
